control_id,matched_interval_id,gate,instrument,start_time,end_time,parent_direction,control_reassertion_atr,counter_duration_mismatch_bars,balance_duration_mismatch_bars,parent_age_mismatch_bars,atr_mismatch,realized_range_mismatch,time_location_mismatch,match_exact,mismatch_disclosure
BOUNDARY_ONLY_0001,ADA_0012,BOUNDARY_ONLY,ADAUSDT,2023-07-20 08:00:00,2023-07-21 00:00:00,UP,0.0941968,0,0,0,0.00394524,0.0002,0.03272727,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0002,ADA_0016,BOUNDARY_ONLY,ADAUSDT,2023-07-20 08:00:00,2023-07-21 00:00:00,UP,0.0941968,0,0,0,0.00392143,0.0003,0.03151515,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0003,ADA_0018,BOUNDARY_ONLY,ADAUSDT,2023-07-20 08:00:00,2023-07-21 00:00:00,UP,0.0941968,0,0,0,0.00377143,0.0007,0.03090909,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0004,ADA_0026,BOUNDARY_ONLY,ADAUSDT,2023-07-21 00:00:00,2023-07-21 16:00:00,DOWN,-0.02811245,0,0,0,0.00180714,0.0007,0.02969697,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0005,ADA_0027,BOUNDARY_ONLY,ADAUSDT,2023-07-21 04:00:00,2023-07-21 20:00:00,DOWN,0.20895522,0,0,0,0.00135714,0.007,0.02969697,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0006,ADA_0033,BOUNDARY_ONLY,ADAUSDT,2023-07-21 04:00:00,2023-07-21 20:00:00,DOWN,0.20895522,0,0,0,0.0009,0.0016,0.02787879,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0007,ADA_0035,BOUNDARY_ONLY,ADAUSDT,2023-07-21 04:00:00,2023-07-21 20:00:00,DOWN,0.20895522,0,0,0,0.00041429,0.002,0.02727273,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0008,ADA_0045,BOUNDARY_ONLY,ADAUSDT,2023-07-20 20:00:00,2023-07-21 12:00:00,UP,0.11256281,0,0,0,0.00143571,0.0001,0.02363636,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0009,ADA_0059,BOUNDARY_ONLY,ADAUSDT,2023-07-21 04:00:00,2023-07-21 20:00:00,DOWN,0.20895522,0,0,0,0.00260714,0.0003,0.02,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0010,ADA_0065,BOUNDARY_ONLY,ADAUSDT,2023-07-20 20:00:00,2023-07-21 12:00:00,UP,0.11256281,0,0,0,0.00271429,0.0008,0.01757576,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0011,ADA_0085,BOUNDARY_ONLY,ADAUSDT,2023-07-20 08:00:00,2023-07-21 00:00:00,UP,0.0941968,0,0,0,0.00765714,0.001,0.01060606,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0012,ADA_0098,BOUNDARY_ONLY,ADAUSDT,2023-07-21 00:00:00,2023-07-21 16:00:00,DOWN,-0.02811245,0,0,0,0.00068571,0.0011,0.00787879,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0013,ADA_0114,BOUNDARY_ONLY,ADAUSDT,2023-07-20 04:00:00,2023-07-20 20:00:00,UP,-0.0691358,0,0,0,0.00045714,0.0002,0.00151515,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0014,ADA_0139,BOUNDARY_ONLY,ADAUSDT,2023-07-20 16:00:00,2023-07-21 08:00:00,UP,0.13618677,0,0,0,0.00382857,0.002,0.00515152,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0015,ADA_0153,BOUNDARY_ONLY,ADAUSDT,2023-07-20 20:00:00,2023-07-21 12:00:00,UP,0.11256281,0,0,0,0.00242857,0.0003,0.00909091,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0016,ADA_0164,BOUNDARY_ONLY,ADAUSDT,2023-07-20 20:00:00,2023-07-21 12:00:00,UP,0.11256281,0,0,0,0.00327143,0.0002,0.01242424,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0017,ADA_0171,BOUNDARY_ONLY,ADAUSDT,2023-07-20 20:00:00,2023-07-21 12:00:00,UP,0.11256281,0,0,0,0.00407143,0.0006,0.01454545,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0018,ADA_0172,BOUNDARY_ONLY,ADAUSDT,2023-07-20 20:00:00,2023-07-21 12:00:00,UP,0.11256281,0,0,0,0.00415714,0.0008,0.01484848,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0019,ADA_0179,BOUNDARY_ONLY,ADAUSDT,2023-07-20 16:00:00,2023-07-21 08:00:00,UP,0.13618677,0,0,0,0.0052,0.0017,0.01727273,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0020,ADA_0192,BOUNDARY_ONLY,ADAUSDT,2023-07-21 04:00:00,2023-07-21 20:00:00,DOWN,0.20895522,0,0,0,0.00137143,0.001,0.02030303,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0021,ADA_0195,BOUNDARY_ONLY,ADAUSDT,2023-07-21 08:00:00,2023-07-22 00:00:00,DOWN,-0.1039604,0,0,0,0.0019,0.001,0.02090909,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0022,ADA_0203,BOUNDARY_ONLY,ADAUSDT,2023-07-21 08:00:00,2023-07-22 00:00:00,DOWN,-0.1039604,0,0,0,0.00213571,0.0012,0.02333333,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0023,ADA_0208,BOUNDARY_ONLY,ADAUSDT,2023-07-21 08:00:00,2023-07-22 00:00:00,DOWN,-0.1039604,0,0,0,0.00235714,0.0017,0.02484848,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0024,ADA_0219,BOUNDARY_ONLY,ADAUSDT,2023-08-22 12:00:00,2023-08-23 04:00:00,DOWN,-0.37837838,0,0,0,0.00147857,0.0004,0.03030303,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0025,ADA_0222,BOUNDARY_ONLY,ADAUSDT,2023-08-23 20:00:00,2023-08-24 12:00:00,UP,-1.0,0,0,0,0.00125,0.0001,0.03181818,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0026,ADA_0239,BOUNDARY_ONLY,ADAUSDT,2023-08-23 16:00:00,2023-08-24 08:00:00,UP,-0.42,0,0,0,2.143e-05,0.0002,0.02636364,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0027,ADA_0249,BOUNDARY_ONLY,ADAUSDT,2023-08-22 12:00:00,2023-08-23 04:00:00,DOWN,-0.37837838,0,0,0,0.00172143,0.0007,0.02121212,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0028,ADA_0256,BOUNDARY_ONLY,ADAUSDT,2023-08-22 12:00:00,2023-08-23 04:00:00,DOWN,-0.37837838,0,0,0,0.0025,0.001,0.01909091,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0029,ADA_0263,BOUNDARY_ONLY,ADAUSDT,2023-08-21 20:00:00,2023-08-22 12:00:00,DOWN,0.77642981,0,0,0,0.00204286,0.0011,0.01575758,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0030,ADA_0268,BOUNDARY_ONLY,ADAUSDT,2023-08-21 20:00:00,2023-08-22 12:00:00,DOWN,0.77642981,0,0,0,0.00157143,0.001,0.01424242,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0031,ADA_0274,BOUNDARY_ONLY,ADAUSDT,2023-08-22 12:00:00,2023-08-23 04:00:00,DOWN,-0.37837838,0,0,0,0.00182857,0.0004,0.01363636,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0032,ADA_0285,BOUNDARY_ONLY,ADAUSDT,2023-08-22 12:00:00,2023-08-23 04:00:00,DOWN,-0.37837838,0,0,0,0.00058571,0.0001,0.01030303,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0033,ADA_0287,BOUNDARY_ONLY,ADAUSDT,2023-08-23 04:00:00,2023-08-23 20:00:00,DOWN,0.06818182,0,0,0,0.00122143,0.0,0.01090909,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0034,ADA_0302,BOUNDARY_ONLY,ADAUSDT,2023-08-23 20:00:00,2023-08-24 12:00:00,UP,-1.0,0,0,0,0.00019286,0.0001,0.00757576,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0035,ADA_0304,BOUNDARY_ONLY,ADAUSDT,2023-08-23 16:00:00,2023-08-24 08:00:00,UP,-0.42,0,0,0,0.00026429,0.0002,0.00666667,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0036,ADA_0351,BOUNDARY_ONLY,ADAUSDT,2023-08-24 20:00:00,2023-08-25 12:00:00,UP,-0.53248811,0,0,0,0.00201429,0.0008,0.00545455,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0037,ADA_0369,BOUNDARY_ONLY,ADAUSDT,2023-08-25 04:00:00,2023-08-25 20:00:00,DOWN,-0.29690049,0,0,0,0.0002,0.0003,0.01030303,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
BOUNDARY_ONLY_0038,ADA_0370,BOUNDARY_ONLY,ADAUSDT,2023-08-25 00:00:00,2023-08-25 16:00:00,DOWN,0.1314554,0,0,0,0.00065714,0.0021,0.01090909,0,"direction, parent age, counter and balance duration exact; nearest deterministic ATR, balance realized range, then time location; all source detections excluded"
