instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,balance_duration_bars,balance_range_atr,balance_body_atr,compression_ratio,directional_drift_atr,boundary_distance_change_atr,reassertion_setup_distance_atr,balance_end_time,gate_DURATION_1,gate_DURATION_2,gate_DURATION_3,gate_DURATION_4PLUS,gate_RANGE_COMPRESSION_050,gate_RANGE_COMPRESSION_075,gate_RANGE_COMPRESSION_100,gate_OVERLAP_025,gate_OVERLAP_050,gate_OVERLAP_075,gate_LOW_DRIFT_010,gate_LOW_DRIFT_025,gate_LOW_DRIFT_050,gate_BOUNDARY_RECOVERY_000,gate_BOUNDARY_RECOVERY_010,gate_BOUNDARY_RECOVERY_025,gate_COMPACT_BALANCE
ADAUSDT,1H_FALLBACK,UP,2023-07-01 00:00:00,2023-07-02 08:00:00,2023-07-02 20:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,0.2812,1,1,1,1,0,1,0.721078,-0.23371,0.282051,1.0,0.333333,8,4,0.88189,0.5,1.0,0,,ADA_0012,1,1.1197183098591474,0.485915492957751,0.8412698412698331,0.485915492957751,0.48591549295775094,-2.197183098591551,2023-07-02 20:00:00,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0
ADAUSDT,1H_FALLBACK,UP,2023-07-01 16:00:00,2023-07-03 00:00:00,2023-07-03 12:00:00,2023-07-03 16:00:00,2023-07-03 16:00:00,0.2853,1,1,1,1,0,1,0.594059,-0.06161,0.142857,1.0,0.333333,8,4,1.05814,0.5,1.0,0,,ADA_0016,1,1.009009009009002,0.1471471471471425,0.7619047619047606,0.1471471471471425,0.1471471471471426,-2.123123123123121,2023-07-03 12:00:00,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0
ADAUSDT,1H_FALLBACK,UP,2023-07-02 00:00:00,2023-07-03 08:00:00,2023-07-03 20:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,0.2853,1,1,0,1,0,1,0.608696,-0.386179,0.358491,1.0,0.666667,8,4,0.839286,0.5,1.0,0,,ADA_0018,1,0.8966521106259018,0.3260553129548744,0.5176470588235242,-0.3260553129548744,-0.32605531295487467,-2.3231441048034984,2023-07-03 20:00:00,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-07-03 08:00:00,2023-07-04 16:00:00,2023-07-05 04:00:00,2023-07-05 08:00:00,2023-07-05 08:00:00,0.3016,1,1,1,1,1,1,1.580645,0.561304,1.0,1.0,0.333333,8,4,1.268519,0.5,1.0,0,,ADA_0026,1,0.6226415094339671,0.16981132075470878,0.4285714285714296,-0.16981132075470878,-0.16981132075470873,-1.226415094339624,2023-07-05 04:00:00,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-03 12:00:00,2023-07-04 20:00:00,2023-07-05 08:00:00,2023-07-05 12:00:00,2023-07-05 12:00:00,0.3016,1,1,1,1,0,1,0.57767,-1.146953,0.542373,1.0,0.333333,8,4,1.349206,0.5,1.0,0,,ADA_0027,1,2.205955334987599,1.598014888337475,2.228070175438589,1.598014888337475,1.5980148883374752,-2.709677419354837,2023-07-05 08:00:00,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0
ADAUSDT,1H_FALLBACK,DOWN,2023-07-04 12:00:00,2023-07-05 20:00:00,2023-07-06 08:00:00,2023-07-06 12:00:00,2023-07-06 12:00:00,0.297,1,1,1,1,0,1,0.815534,0.633852,0.906977,1.0,0.333333,8,4,1.017341,0.5,1.0,0,,ADA_0033,1,1.1747126436781639,0.04827586206896906,0.6886792452830217,0.04827586206896906,0.048275862068968944,-1.480459770114938,2023-07-06 08:00:00,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-04 20:00:00,2023-07-06 04:00:00,2023-07-06 16:00:00,2023-07-06 20:00:00,2023-07-06 20:00:00,0.2967,1,1,0,1,0,1,0.790795,-0.647149,0.6,1.0,0.666667,8,4,1.035294,0.5,1.0,0,,ADA_0035,1,1.14925373134328,0.19402985074627194,0.437499999999999,-0.19402985074627194,-0.1940298507462721,-1.9253731343283595,2023-07-06 16:00:00,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1
ADAUSDT,1H_FALLBACK,UP,2023-07-06 12:00:00,2023-07-07 20:00:00,2023-07-08 08:00:00,2023-07-08 12:00:00,2023-07-08 12:00:00,0.2761,1,1,1,1,0,1,0.526976,-0.272109,0.421053,1.0,0.333333,8,4,0.6875,0.5,1.0,0,,ADA_0045,1,0.541717049576781,0.23700120918983583,0.5079365079365071,0.23700120918983583,0.23700120918983592,-1.6759371221281705,2023-07-08 08:00:00,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-08 20:00:00,2023-07-10 04:00:00,2023-07-10 16:00:00,2023-07-10 20:00:00,2023-07-10 20:00:00,0.2918,1,1,1,1,1,1,0.766823,1.822565,1.0,1.0,0.333333,8,4,0.912409,0.5,1.0,0,,ADA_0059,1,1.19809825673533,0.7765451664025351,0.6136363636363609,-0.7765451664025351,-0.7765451664025351,-0.11093502377179074,2023-07-10 16:00:00,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-07-09 20:00:00,2023-07-11 04:00:00,2023-07-11 16:00:00,2023-07-11 20:00:00,2023-07-11 20:00:00,0.2781,1,1,1,1,1,1,0.654206,0.394366,1.0,1.0,0.333333,8,4,0.39726,0.5,1.0,0,,ADA_0065,1,0.8425925925925961,0.1944444444444471,0.8297872340425595,-0.1944444444444471,-0.1944444444444473,-2.5061728395061738,2023-07-11 16:00:00,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-07-13 04:00:00,2023-07-14 12:00:00,2023-07-15 00:00:00,2023-07-15 04:00:00,2023-07-15 04:00:00,0.2858,1,1,1,1,1,1,0.505308,1.31305,0.623881,1.0,1.0,8,4,0.37861,0.5,1.0,0,,ADA_0085,1,0.2509838216003494,0.09182334936598173,0.11581920903954786,-0.09182334936598173,-0.09182334936598169,-2.4792304328815034,2023-07-15 00:00:00,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1
ADAUSDT,1H_FALLBACK,DOWN,2023-07-15 08:00:00,2023-07-16 16:00:00,2023-07-17 04:00:00,2023-07-17 08:00:00,2023-07-17 08:00:00,0.3376,1,1,1,1,0,1,0.761329,0.210764,0.266667,1.0,0.666667,8,4,0.858537,0.5,1.0,0,,ADA_0098,1,0.5761957730811988,0.28031145717464245,0.3274336283185831,0.28031145717464245,0.28031145717464234,-3.254727474972199,2023-07-17 04:00:00,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0
ADAUSDT,1H_FALLBACK,UP,2023-07-18 00:00:00,2023-07-19 08:00:00,2023-07-19 20:00:00,2023-07-20 00:00:00,2023-07-20 00:00:00,0.2996,1,1,0,1,0,1,0.616048,-0.727241,0.345029,1.0,1.0,8,4,0.95082,0.5,1.0,0,,ADA_0114,1,0.8048780487804877,0.19512195121951117,0.4124999999999993,-0.19512195121951117,-0.19512195121951104,-2.8048780487804925,2023-07-19 20:00:00,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1
ADAUSDT,1H_FALLBACK,UP,2023-07-22 04:00:00,2023-07-23 12:00:00,2023-07-24 00:00:00,2023-07-24 04:00:00,2023-07-24 04:00:00,0.3062,1,1,0,1,0,1,0.591252,0.540715,0.307692,1.0,0.666667,8,4,0.831858,0.5,1.0,0,,ADA_0139,1,1.7056962025316413,1.1518987341772107,1.3749999999999987,-1.1518987341772107,-1.1518987341772107,-1.2848101265822716,2023-07-24 00:00:00,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-07-24 12:00:00,2023-07-25 20:00:00,2023-07-26 08:00:00,2023-07-26 12:00:00,2023-07-26 12:00:00,0.3,1,1,1,1,1,1,0.863436,0.470193,1.0,1.0,0.333333,8,4,0.692308,0.5,1.0,0,,ADA_0153,1,0.5697674418604581,0.12209302325581166,0.5714285714285633,-0.12209302325581166,-0.12209302325581162,-0.2645348837209347,2023-07-26 08:00:00,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1
ADAUSDT,1H_FALLBACK,UP,2023-07-26 08:00:00,2023-07-27 16:00:00,2023-07-28 04:00:00,2023-07-28 08:00:00,2023-07-28 08:00:00,0.3003,1,1,1,1,1,1,0.77643,-0.168501,0.368421,1.0,0.666667,8,4,0.545455,0.5,1.0,0,,ADA_0164,1,0.7122807017543757,0.14736842105262898,0.5272727272727192,-0.14736842105262898,-0.14736842105262893,-1.8421052631578965,2023-07-28 04:00:00,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1
ADAUSDT,1H_FALLBACK,UP,2023-07-27 12:00:00,2023-07-28 20:00:00,2023-07-29 08:00:00,2023-07-29 12:00:00,2023-07-29 12:00:00,0.3053,1,1,0,1,0,1,0.533632,0.257985,0.257143,1.0,0.666667,8,4,0.62963,0.5,1.0,0,,ADA_0171,1,0.7641921397379899,0.5196506550218264,0.5681818181818168,-0.5196506550218264,-0.5196506550218263,-1.1310043668122183,2023-07-29 08:00:00,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-07-27 16:00:00,2023-07-29 00:00:00,2023-07-29 12:00:00,2023-07-29 16:00:00,2023-07-29 16:00:00,0.3053,1,1,1,1,0,1,0.604545,0.149637,0.128205,1.0,0.333333,8,4,0.62963,0.5,1.0,0,,ADA_0172,1,0.7219730941703925,0.5022421524663637,0.45098039215685226,0.5022421524663637,0.5022421524663638,-1.6950672645739755,2023-07-29 12:00:00,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0
ADAUSDT,1H_FALLBACK,UP,2023-07-28 20:00:00,2023-07-30 04:00:00,2023-07-30 16:00:00,2023-07-30 20:00:00,2023-07-30 20:00:00,0.3087,1,1,1,1,1,1,1.733075,1.746824,1.0,1.0,0.333333,8,4,2.263158,0.5,1.0,0,,ADA_0179,1,2.354545454545461,1.4636363636363796,1.2131147540983647,-1.4636363636363796,-1.4636363636363798,-0.15909090909090928,2023-07-30 16:00:00,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 00:00:00,2023-08-01 08:00:00,2023-08-01 20:00:00,2023-08-02 00:00:00,2023-08-02 00:00:00,0.319,1,1,1,1,1,1,0.522523,1.021505,1.0,1.0,0.333333,8,4,0.495868,0.5,1.0,0,,ADA_0192,1,0.8184079601990011,0.6268656716417987,0.5949367088607559,-0.6268656716417987,-0.6268656716417988,-1.5149253731343244,2023-08-01 20:00:00,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-07-31 12:00:00,2023-08-01 20:00:00,2023-08-02 08:00:00,2023-08-02 12:00:00,2023-08-02 12:00:00,0.3153,1,1,0,1,0,1,1.018545,-0.422613,0.323529,1.0,0.666667,8,4,0.521951,0.5,1.0,0,,ADA_0195,1,0.7291666666666669,0.4999999999999909,0.5303030303030312,-0.4999999999999909,-0.4999999999999909,-1.5000000000000073,2023-08-02 08:00:00,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-01 20:00:00,2023-08-03 04:00:00,2023-08-03 16:00:00,2023-08-03 20:00:00,2023-08-03 20:00:00,0.312,1,1,1,1,0,1,0.685015,0.021277,0.04,1.0,0.333333,8,4,0.732877,0.5,1.0,0,,ADA_0203,1,0.810641627543033,0.2629107981220615,0.5522388059701477,0.2629107981220615,0.26291079812206153,-3.636932707355249,2023-08-03 16:00:00,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-02 16:00:00,2023-08-04 00:00:00,2023-08-04 12:00:00,2023-08-04 16:00:00,2023-08-04 16:00:00,0.3038,1,1,0,1,0,1,0.600954,0.454693,0.454545,1.0,0.666667,8,4,0.373333,0.5,1.0,0,,ADA_0208,1,0.967105263157891,0.6907894736842115,1.3125000000000022,-0.6907894736842115,-0.6907894736842113,-1.7960526315789551,2023-08-04 12:00:00,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
