gate,gate_family,threshold_or_bin,support_count,retained_fraction_from_boundary,rate_per_1000_parent_bars,quality_without_boundary_support,boundary_plus_quality_support,sampled_boundary_support,sample_collapse_flag,improvement_vs_boundary_contrast,incremental_vs_support_size_contrast,independence_flag,median_reassertion_atr,mean_reassertion_atr,matched_control_median,matched_control_mean,paired_rank_contrast,above_matched_control_fraction,distribution_overlap
DURATION_1,DURATION,1,369,1.0,111.81818181818181,425,369,369,NO,0.0,0.0,NO,0.755653,0.9211393577235769,-0.17150226,-0.19557318249322495,0.994579945799458,0.997289972899729,-0.28262548552196504
DURATION_2,DURATION,2,0,0.0,0.0,0,0,0,YES,-0.994579945799458,0.0,NO,0,0.0,0,0.0,0.0,0.0,0.0
DURATION_3,DURATION,3,0,0.0,0.0,0,0,0,YES,-0.994579945799458,0.0,NO,0,0.0,0,0.0,0.0,0.0,0.0
DURATION_4PLUS,DURATION,4PLUS,0,0.0,0.0,0,0,0,YES,-0.994579945799458,0.0,NO,0,0.0,0,0.0,0.0,0.0,0.0
RANGE_COMPRESSION_050,RANGE_COMPRESSION,050,148,0.4010840108401084,44.84848484848485,177,148,148,NO,0.005420054200542035,0.0,NO,0.7751445,0.9313892229729728,-0.21943574,-0.24764553243243256,1.0,1.0,-0.35385115555210417
RANGE_COMPRESSION_075,RANGE_COMPRESSION,075,265,0.7181571815718157,80.3030303030303,298,265,265,NO,-0.002127115610778718,0.0,NO,0.752837,0.9135205962264149,-0.19382322,-0.2318622389811321,0.9924528301886792,0.9962264150943396,-0.3374823407958122
RANGE_COMPRESSION_100,RANGE_COMPRESSION,100,319,0.8644986449864499,96.66666666666667,358,319,319,NO,-0.000849538275947026,0.0,NO,0.746352,0.9163404357366769,-0.18192558,-0.20738400053291542,0.9937304075235109,0.9968652037617555,-0.3023493438595699
OVERLAP_025,OVERLAP,025,369,1.0,111.81818181818181,425,369,369,NO,0.0,0.0,NO,0.755653,0.9211393577235769,-0.17150226,-0.19557318249322495,0.994579945799458,0.997289972899729,-0.28262548552196504
OVERLAP_050,OVERLAP,050,369,1.0,111.81818181818181,425,369,369,NO,0.0,0.0,NO,0.755653,0.9211393577235769,-0.17150226,-0.19557318249322495,0.994579945799458,0.997289972899729,-0.28262548552196504
OVERLAP_075,OVERLAP,075,369,1.0,111.81818181818181,425,369,369,NO,0.0,0.0,NO,0.755653,0.9211393577235769,-0.17150226,-0.19557318249322495,0.994579945799458,0.997289972899729,-0.28262548552196504
LOW_DRIFT_010,LOW_DRIFT,010,63,0.17073170731707318,19.09090909090909,69,63,63,NO,0.005420054200542035,0.0,NO,0.724919,0.8751508571428572,-0.29690049,-0.38181967603174605,1.0,1.0,-0.5116788054706078
LOW_DRIFT_025,LOW_DRIFT,025,147,0.3983739837398374,44.54545454545455,156,147,147,NO,0.005420054200542035,0.0,NO,0.773481,0.9256211360544215,-0.21943574,-0.24903490312925175,1.0,1.0,-0.3267381759680367
LOW_DRIFT_050,LOW_DRIFT,050,241,0.6531165311653117,73.03030303030303,264,241,241,NO,0.005420054200542035,0.008298755186721962,LIMITED,0.752837,0.8931799668049794,-0.21914509,-0.25211350439834035,1.0,1.0,-0.359951871912931
BOUNDARY_RECOVERY_000,BOUNDARY_RECOVERY,000,150,0.4065040650406504,45.45454545454545,169,150,150,NO,0.005420054200542035,0.0,NO,0.8088525,0.9959515399999997,-0.15083553,-0.16469197413333328,1.0,1.0,-0.21113086385521282
BOUNDARY_RECOVERY_010,BOUNDARY_RECOVERY,010,122,0.33062330623306235,36.96969696969697,138,122,122,NO,0.005420054200542035,0.0,NO,0.795037,1.0112662049180325,-0.15083553,-0.1414812777049179,1.0,1.0,-0.18396501054827818
BOUNDARY_RECOVERY_025,BOUNDARY_RECOVERY,025,89,0.24119241192411925,26.96969696969697,103,89,89,NO,0.005420054200542035,0.0,NO,0.881695,1.014146011235955,-0.1039604,-0.11559238887640447,1.0,1.0,-0.1688620676666051
COMPACT_BALANCE,COMPACT,BALANCE,130,0.3523035230352303,39.39393939393939,138,130,130,NO,0.005420054200542035,0.0,NO,0.7759499999999999,0.9342477538461538,-0.24492099,-0.2584552500000001,1.0,1.0,-0.34110725187201724
