parameter_factor,gate,actual_detector_run,accepted_support,support_count,detection_overlap_with_factor_1_0,control_rank_contrast,contrast_direction,time_stability,direction_stability,verdict_stability
0.8,DURATION_1,1,472,472,0.7817796610169492,0.9745762711864406,POSITIVE,REPORTED,REPORTED,STABLE
0.8,DURATION_2,1,472,0,0.7817796610169492,0.0,NONPOSITIVE,REPORTED,REPORTED,LIMITED
0.8,DURATION_3,1,472,0,0.7817796610169492,0.0,NONPOSITIVE,REPORTED,REPORTED,LIMITED
0.8,DURATION_4PLUS,1,472,0,0.7817796610169492,0.0,NONPOSITIVE,REPORTED,REPORTED,LIMITED
0.8,RANGE_COMPRESSION_050,1,472,188,0.7817796610169492,0.9893617021276596,POSITIVE,REPORTED,REPORTED,STABLE
0.8,RANGE_COMPRESSION_075,1,472,341,0.7817796610169492,0.9824046920821115,POSITIVE,REPORTED,REPORTED,STABLE
0.8,RANGE_COMPRESSION_100,1,472,410,0.7817796610169492,0.975609756097561,POSITIVE,REPORTED,REPORTED,STABLE
0.8,OVERLAP_025,1,472,472,0.7817796610169492,0.9745762711864406,POSITIVE,REPORTED,REPORTED,STABLE
0.8,OVERLAP_050,1,472,472,0.7817796610169492,0.9745762711864406,POSITIVE,REPORTED,REPORTED,STABLE
0.8,OVERLAP_075,1,472,472,0.7817796610169492,0.9745762711864406,POSITIVE,REPORTED,REPORTED,STABLE
0.8,LOW_DRIFT_010,1,472,74,0.7817796610169492,1.0,POSITIVE,REPORTED,REPORTED,STABLE
0.8,LOW_DRIFT_025,1,472,184,0.7817796610169492,0.9891304347826086,POSITIVE,REPORTED,REPORTED,STABLE
0.8,LOW_DRIFT_050,1,472,315,0.7817796610169492,0.9809523809523809,POSITIVE,REPORTED,REPORTED,STABLE
0.8,BOUNDARY_RECOVERY_000,1,472,195,0.7817796610169492,0.9692307692307692,POSITIVE,REPORTED,REPORTED,STABLE
0.8,BOUNDARY_RECOVERY_010,1,472,163,0.7817796610169492,0.9631901840490797,POSITIVE,REPORTED,REPORTED,STABLE
0.8,BOUNDARY_RECOVERY_025,1,472,117,0.7817796610169492,0.9658119658119658,POSITIVE,REPORTED,REPORTED,STABLE
0.8,COMPACT_BALANCE,1,472,163,0.7817796610169492,0.9877300613496932,POSITIVE,REPORTED,REPORTED,STABLE
1.0,DURATION_1,1,369,369,1.0,0.994579945799458,POSITIVE,REPORTED,REPORTED,STABLE
1.0,DURATION_2,1,369,0,1.0,0.0,NONPOSITIVE,REPORTED,REPORTED,LIMITED
1.0,DURATION_3,1,369,0,1.0,0.0,NONPOSITIVE,REPORTED,REPORTED,LIMITED
1.0,DURATION_4PLUS,1,369,0,1.0,0.0,NONPOSITIVE,REPORTED,REPORTED,LIMITED
1.0,RANGE_COMPRESSION_050,1,369,148,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,RANGE_COMPRESSION_075,1,369,265,1.0,0.9924528301886792,POSITIVE,REPORTED,REPORTED,STABLE
1.0,RANGE_COMPRESSION_100,1,369,319,1.0,0.9937304075235109,POSITIVE,REPORTED,REPORTED,STABLE
1.0,OVERLAP_025,1,369,369,1.0,0.994579945799458,POSITIVE,REPORTED,REPORTED,STABLE
1.0,OVERLAP_050,1,369,369,1.0,0.994579945799458,POSITIVE,REPORTED,REPORTED,STABLE
1.0,OVERLAP_075,1,369,369,1.0,0.994579945799458,POSITIVE,REPORTED,REPORTED,STABLE
1.0,LOW_DRIFT_010,1,369,63,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,LOW_DRIFT_025,1,369,147,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,LOW_DRIFT_050,1,369,241,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,BOUNDARY_RECOVERY_000,1,369,150,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,BOUNDARY_RECOVERY_010,1,369,122,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,BOUNDARY_RECOVERY_025,1,369,89,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,COMPACT_BALANCE,1,369,130,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,DURATION_1,1,277,277,0.7506775067750677,0.9927797833935018,POSITIVE,REPORTED,REPORTED,STABLE
1.2,DURATION_2,1,277,0,0.7506775067750677,0.0,NONPOSITIVE,REPORTED,REPORTED,LIMITED
1.2,DURATION_3,1,277,0,0.7506775067750677,0.0,NONPOSITIVE,REPORTED,REPORTED,LIMITED
1.2,DURATION_4PLUS,1,277,0,0.7506775067750677,0.0,NONPOSITIVE,REPORTED,REPORTED,LIMITED
1.2,RANGE_COMPRESSION_050,1,277,117,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,RANGE_COMPRESSION_075,1,277,199,0.7506775067750677,0.9899497487437185,POSITIVE,REPORTED,REPORTED,STABLE
1.2,RANGE_COMPRESSION_100,1,277,237,0.7506775067750677,0.9915611814345991,POSITIVE,REPORTED,REPORTED,STABLE
1.2,OVERLAP_025,1,277,277,0.7506775067750677,0.9927797833935018,POSITIVE,REPORTED,REPORTED,STABLE
1.2,OVERLAP_050,1,277,277,0.7506775067750677,0.9927797833935018,POSITIVE,REPORTED,REPORTED,STABLE
1.2,OVERLAP_075,1,277,277,0.7506775067750677,0.9927797833935018,POSITIVE,REPORTED,REPORTED,STABLE
1.2,LOW_DRIFT_010,1,277,48,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,LOW_DRIFT_025,1,277,113,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,LOW_DRIFT_050,1,277,183,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,BOUNDARY_RECOVERY_000,1,277,117,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,BOUNDARY_RECOVERY_010,1,277,93,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,BOUNDARY_RECOVERY_025,1,277,71,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,COMPACT_BALANCE,1,277,100,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
