gate,segment,parent_direction,support_count,contrast,above_control_fraction,exhaustive_source_population
DURATION_1,1,UP,59,1.0,1.0,369
DURATION_1,1,DOWN,64,0.96875,0.984375,369
DURATION_1,2,UP,49,1.0,1.0,369
DURATION_1,2,DOWN,74,1.0,1.0,369
DURATION_1,3,UP,58,1.0,1.0,369
DURATION_1,3,DOWN,65,1.0,1.0,369
DURATION_2,1,UP,0,0.0,0.0,369
DURATION_2,1,DOWN,0,0.0,0.0,369
DURATION_2,2,UP,0,0.0,0.0,369
DURATION_2,2,DOWN,0,0.0,0.0,369
DURATION_2,3,UP,0,0.0,0.0,369
DURATION_2,3,DOWN,0,0.0,0.0,369
DURATION_3,1,UP,0,0.0,0.0,369
DURATION_3,1,DOWN,0,0.0,0.0,369
DURATION_3,2,UP,0,0.0,0.0,369
DURATION_3,2,DOWN,0,0.0,0.0,369
DURATION_3,3,UP,0,0.0,0.0,369
DURATION_3,3,DOWN,0,0.0,0.0,369
DURATION_4PLUS,1,UP,0,0.0,0.0,369
DURATION_4PLUS,1,DOWN,0,0.0,0.0,369
DURATION_4PLUS,2,UP,0,0.0,0.0,369
DURATION_4PLUS,2,DOWN,0,0.0,0.0,369
DURATION_4PLUS,3,UP,0,0.0,0.0,369
DURATION_4PLUS,3,DOWN,0,0.0,0.0,369
RANGE_COMPRESSION_050,1,UP,20,1.0,1.0,369
RANGE_COMPRESSION_050,1,DOWN,25,1.0,1.0,369
RANGE_COMPRESSION_050,2,UP,24,1.0,1.0,369
RANGE_COMPRESSION_050,2,DOWN,37,1.0,1.0,369
RANGE_COMPRESSION_050,3,UP,17,1.0,1.0,369
RANGE_COMPRESSION_050,3,DOWN,25,1.0,1.0,369
RANGE_COMPRESSION_075,1,UP,45,1.0,1.0,369
RANGE_COMPRESSION_075,1,DOWN,49,0.9591836734693877,0.9795918367346939,369
RANGE_COMPRESSION_075,2,UP,37,1.0,1.0,369
RANGE_COMPRESSION_075,2,DOWN,55,1.0,1.0,369
RANGE_COMPRESSION_075,3,UP,34,1.0,1.0,369
RANGE_COMPRESSION_075,3,DOWN,45,1.0,1.0,369
RANGE_COMPRESSION_100,1,UP,52,1.0,1.0,369
RANGE_COMPRESSION_100,1,DOWN,55,0.9636363636363636,0.9818181818181818,369
RANGE_COMPRESSION_100,2,UP,41,1.0,1.0,369
RANGE_COMPRESSION_100,2,DOWN,67,1.0,1.0,369
RANGE_COMPRESSION_100,3,UP,51,1.0,1.0,369
RANGE_COMPRESSION_100,3,DOWN,53,1.0,1.0,369
OVERLAP_025,1,UP,59,1.0,1.0,369
OVERLAP_025,1,DOWN,64,0.96875,0.984375,369
OVERLAP_025,2,UP,49,1.0,1.0,369
OVERLAP_025,2,DOWN,74,1.0,1.0,369
OVERLAP_025,3,UP,58,1.0,1.0,369
OVERLAP_025,3,DOWN,65,1.0,1.0,369
OVERLAP_050,1,UP,59,1.0,1.0,369
OVERLAP_050,1,DOWN,64,0.96875,0.984375,369
OVERLAP_050,2,UP,49,1.0,1.0,369
OVERLAP_050,2,DOWN,74,1.0,1.0,369
OVERLAP_050,3,UP,58,1.0,1.0,369
OVERLAP_050,3,DOWN,65,1.0,1.0,369
OVERLAP_075,1,UP,59,1.0,1.0,369
OVERLAP_075,1,DOWN,64,0.96875,0.984375,369
OVERLAP_075,2,UP,49,1.0,1.0,369
OVERLAP_075,2,DOWN,74,1.0,1.0,369
OVERLAP_075,3,UP,58,1.0,1.0,369
OVERLAP_075,3,DOWN,65,1.0,1.0,369
LOW_DRIFT_010,1,UP,7,1.0,1.0,369
LOW_DRIFT_010,1,DOWN,9,1.0,1.0,369
LOW_DRIFT_010,2,UP,9,1.0,1.0,369
LOW_DRIFT_010,2,DOWN,22,1.0,1.0,369
LOW_DRIFT_010,3,UP,3,1.0,1.0,369
LOW_DRIFT_010,3,DOWN,13,1.0,1.0,369
LOW_DRIFT_025,1,UP,24,1.0,1.0,369
LOW_DRIFT_025,1,DOWN,24,1.0,1.0,369
LOW_DRIFT_025,2,UP,20,1.0,1.0,369
LOW_DRIFT_025,2,DOWN,36,1.0,1.0,369
LOW_DRIFT_025,3,UP,15,1.0,1.0,369
LOW_DRIFT_025,3,DOWN,28,1.0,1.0,369
LOW_DRIFT_050,1,UP,41,1.0,1.0,369
LOW_DRIFT_050,1,DOWN,43,1.0,1.0,369
LOW_DRIFT_050,2,UP,25,1.0,1.0,369
LOW_DRIFT_050,2,DOWN,54,1.0,1.0,369
LOW_DRIFT_050,3,UP,33,1.0,1.0,369
LOW_DRIFT_050,3,DOWN,45,1.0,1.0,369
BOUNDARY_RECOVERY_000,1,UP,23,1.0,1.0,369
BOUNDARY_RECOVERY_000,1,DOWN,25,1.0,1.0,369
BOUNDARY_RECOVERY_000,2,UP,17,1.0,1.0,369
BOUNDARY_RECOVERY_000,2,DOWN,33,1.0,1.0,369
BOUNDARY_RECOVERY_000,3,UP,31,1.0,1.0,369
BOUNDARY_RECOVERY_000,3,DOWN,21,1.0,1.0,369
BOUNDARY_RECOVERY_010,1,UP,19,1.0,1.0,369
BOUNDARY_RECOVERY_010,1,DOWN,20,1.0,1.0,369
BOUNDARY_RECOVERY_010,2,UP,13,1.0,1.0,369
BOUNDARY_RECOVERY_010,2,DOWN,23,1.0,1.0,369
BOUNDARY_RECOVERY_010,3,UP,29,1.0,1.0,369
BOUNDARY_RECOVERY_010,3,DOWN,18,1.0,1.0,369
BOUNDARY_RECOVERY_025,1,UP,13,1.0,1.0,369
BOUNDARY_RECOVERY_025,1,DOWN,15,1.0,1.0,369
BOUNDARY_RECOVERY_025,2,UP,10,1.0,1.0,369
BOUNDARY_RECOVERY_025,2,DOWN,15,1.0,1.0,369
BOUNDARY_RECOVERY_025,3,UP,23,1.0,1.0,369
BOUNDARY_RECOVERY_025,3,DOWN,13,1.0,1.0,369
COMPACT_BALANCE,1,UP,20,1.0,1.0,369
COMPACT_BALANCE,1,DOWN,23,1.0,1.0,369
COMPACT_BALANCE,2,UP,19,1.0,1.0,369
COMPACT_BALANCE,2,DOWN,29,1.0,1.0,369
COMPACT_BALANCE,3,UP,13,1.0,1.0,369
COMPACT_BALANCE,3,DOWN,26,1.0,1.0,369
