comparison,comparison_kind,geometry_field,definition,support_count,finite_source_support,rate_per_1000_parent_bars,sample_collapse_flag,incremental_vs_boundary_contrast,incremental_vs_support_size_contrast,reassertion_atr_median,reassertion_atr_mean,control_median,control_mean,paired_rank_contrast,above_control_fraction,distribution_overlap
counter_parent_ratio_Q1,QUARTILE,counter_parent_ratio,fixed full-population deterministic membership,92,369,27.87878787878788,NO,0.0,0.0,0.6866634894157793,0.8425783532035488,-0.15083553,-0.2838976759782608,1.0,1.0,-0.38567228176806423
counter_parent_ratio_Q2,QUARTILE,counter_parent_ratio,fixed full-population deterministic membership,92,369,27.87878787878788,NO,0.0,0.0,0.8332106358092938,0.951935063776262,-0.1730038,-0.2743597114130436,1.0,1.0,-0.3200170148479505
counter_parent_ratio_Q3,QUARTILE,counter_parent_ratio,fixed full-population deterministic membership,92,369,27.87878787878788,NO,0.0,0.0,0.7315504560164731,0.884548026765181,-0.15524194,-0.1864287114130434,1.0,1.0,-0.2630440019568104
counter_parent_ratio_Q4,QUARTILE,counter_parent_ratio,fixed full-population deterministic membership,93,369,28.181818181818183,NO,0.0,0.0,0.8493723849372261,1.004588925404503,-0.19382322,-0.10619866817204299,1.0,1.0,-0.13441132523243662
counter_parent_ratio_B0.25_0.5,UNITY_BAND,counter_parent_ratio,fixed full-population deterministic membership,77,369,23.333333333333332,NO,0.0,0.0,0.8021712907117023,0.909568940455566,-0.20690728,-0.3306232759740261,1.0,1.0,-0.4070250737988112
counter_parent_ratio_B0.5_1,UNITY_BAND,counter_parent_ratio,fixed full-population deterministic membership,78,369,23.636363636363637,NO,0.0,0.0,0.7140226388046613,0.8863078001016458,-0.0476731,-0.1326553571794872,1.0,1.0,-0.18067792397272606
counter_parent_ratio_B1_2,UNITY_BAND,counter_parent_ratio,fixed full-population deterministic membership,46,369,13.93939393939394,NO,0.0,0.0,0.8522224243526682,0.9994921991627269,-0.17453258,-0.11395464152173906,1.0,1.0,-0.12345149202863803
counter_parent_ratio_B2_INF,UNITY_BAND,counter_parent_ratio,fixed full-population deterministic membership,44,369,13.333333333333334,NO,0.0,0.0,0.8725656190607041,1.034611183587207,-0.261631035,-0.10943320159090907,1.0,1.0,-0.162720278200243
balance_counter_ratio_Q1,QUARTILE,balance_counter_ratio,fixed full-population deterministic membership,91,366,27.575757575757574,NO,0.0,0.0,0.8146671980868875,0.9439784988629712,-0.14189189,-0.13502278989010985,1.0,1.0,-0.17494085242772492
balance_counter_ratio_Q2,QUARTILE,balance_counter_ratio,fixed full-population deterministic membership,91,366,27.575757575757574,NO,0.0,0.0,0.7666666666666664,0.9391862091380836,-0.19382322,-0.24739505142857157,1.0,1.0,-0.3114770395990191
balance_counter_ratio_Q3,QUARTILE,balance_counter_ratio,fixed full-population deterministic membership,91,366,27.575757575757574,NO,0.0,0.0,0.721077654516629,0.9508871826589406,-0.19382322,-0.23729326967032965,1.0,1.0,-0.28511996433397824
balance_counter_ratio_Q4,QUARTILE,balance_counter_ratio,fixed full-population deterministic membership,93,366,28.181818181818183,NO,0.0,0.0,0.7007299270072973,0.8508778984059028,-0.15083553,-0.2434203789247312,1.0,1.0,-0.33964981253457527
balance_counter_ratio_B0.25_0.5,UNITY_BAND,balance_counter_ratio,fixed full-population deterministic membership,16,366,4.848484848484849,YES,0.0,0.0,0.7529493146057453,0.8930599867689428,0.052647164999999996,0.0011118987499999962,1.0,1.0,0.009196188915800381
balance_counter_ratio_B0.5_1,UNITY_BAND,balance_counter_ratio,fixed full-population deterministic membership,60,366,18.181818181818183,NO,0.0,0.0,0.8245189155520602,0.9638453926398405,-0.15524194,-0.16366149999999993,1.0,1.0,-0.2128534943127599
balance_counter_ratio_B1_2,UNITY_BAND,balance_counter_ratio,fixed full-population deterministic membership,98,366,29.696969696969695,NO,0.0,0.0,0.7821378210314627,0.9462214928916531,-0.18601964,-0.21746216887755113,1.0,1.0,-0.2623823394498661
balance_counter_ratio_B2_INF,UNITY_BAND,balance_counter_ratio,fixed full-population deterministic membership,191,366,57.878787878787875,NO,0.0,0.0,0.7070707070707078,0.898825492649773,-0.15524194,-0.2511680838743456,1.0,1.0,-0.3328150395161972
reassertion_counter_ratio_Q1,QUARTILE,reassertion_counter_ratio,fixed full-population deterministic membership,91,366,27.575757575757574,NO,0.0,0.0,0.6958719460825563,0.7352194479836954,-0.15524194,-0.170176794065934,1.0,1.0,-0.26065083224407504
reassertion_counter_ratio_Q2,QUARTILE,reassertion_counter_ratio,fixed full-population deterministic membership,91,366,27.575757575757574,NO,0.0,0.0,0.7446808510638303,0.8897473189302391,-0.15524194,-0.18680536285714283,1.0,1.0,-0.23485113325138404
reassertion_counter_ratio_Q3,QUARTILE,reassertion_counter_ratio,fixed full-population deterministic membership,91,366,27.575757575757574,NO,0.0,0.0,0.885470085470081,1.0536973892461345,-0.19382322,-0.25688266879120875,1.0,1.0,-0.29741062833487775
reassertion_counter_ratio_Q4,QUARTILE,reassertion_counter_ratio,fixed full-population deterministic membership,93,366,28.181818181818183,NO,0.0,0.0,0.7986171132238535,1.0029239611961533,-0.15083553,-0.2491409376344085,1.0,1.0,-0.31873474683850067
reassertion_counter_ratio_B0.25_0.5,UNITY_BAND,reassertion_counter_ratio,fixed full-population deterministic membership,24,366,7.2727272727272725,YES,0.0,0.0,0.6778874157791788,0.6670808970825903,0.03409882,-0.07690599875,1.0,1.0,-0.13125853267168813
