parameter_factor,comparison,actual_detector_run,accepted_support,support_count,detection_overlap_with_factor_1_0,control_rank_contrast,contrast_direction,direction_stability,chronological_third_stability,verdict_stability
0.8,PROPORTIONAL_COUNTER,1,369,155,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
0.8,COMPACT_TRANSITION,1,369,80,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
0.8,STRONG_REASSERTION,1,369,284,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
0.8,FAST_REASSERTION,1,369,363,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
0.8,GEOMETRIC_CHAIN,1,369,37,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,PROPORTIONAL_COUNTER,1,369,155,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,COMPACT_TRANSITION,1,369,80,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,STRONG_REASSERTION,1,369,284,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,FAST_REASSERTION,1,369,363,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.0,GEOMETRIC_CHAIN,1,369,37,1.0,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,PROPORTIONAL_COUNTER,1,277,113,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,COMPACT_TRANSITION,1,277,64,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,STRONG_REASSERTION,1,277,218,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,FAST_REASSERTION,1,277,275,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
1.2,GEOMETRIC_CHAIN,1,277,32,0.7506775067750677,1.0,POSITIVE,REPORTED,REPORTED,STABLE
