instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,parent_magnitude_atr,parent_duration_bars,counter_magnitude_atr,counter_duration_bars,balance_range_atr,balance_duration_bars,reassertion_magnitude_atr,reassertion_duration_bars,balance_end_time,counter_parent_ratio,balance_counter_ratio,reassertion_counter_ratio,reassertion_parent_ratio,counter_speed_ratio,reassertion_counter_speed_ratio,balance_time_ratio,transition_symmetry,invalid_ratio_flags,mechanical_redundancy
ADAUSDT,1H_FALLBACK,UP,2023-07-01 00:00:00,2023-07-02 08:00:00,2023-07-02 20:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,0.2812,1,1,1,1,0,1,0.721078,-0.23371,0.282051,0.678721,0.333333,8,4,0.88189,0.5,1.0,0,,ADA_0012,0.6750787683222021,8,0.25495632857603673,3,1.1197183098591474,1,0.721077654516629,1,2023-07-02 20:00:00,0.37766900773622164,4.391804338071997,2.828239873644003,1.0681385467191473,1.0071173539632576,8.484719620932008,0.3333333333333333,0.06591745751685218,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-01 16:00:00,2023-07-03 00:00:00,2023-07-03 12:00:00,2023-07-03 16:00:00,2023-07-03 16:00:00,0.2853,1,1,1,1,0,1,0.594059,-0.06161,0.142857,0.815203,0.333333,8,4,1.05814,0.5,1.0,0,,ADA_0016,0.7446251973545543,8,0.061609983976883775,3,1.009009009009002,1,0.5940594059405943,1,2023-07-03 12:00:00,0.0827395905964059,16.37736197736368,9.642258731368715,0.7977965398580678,0.2206389082570824,28.926776194106147,0.3333333333333333,0.22590167662468907,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-02 00:00:00,2023-07-03 08:00:00,2023-07-03 20:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,0.2853,1,1,0,1,0,1,0.608696,-0.386179,0.358491,0.765203,0.666667,8,4,0.839286,0.5,1.0,0,,ADA_0018,1.1172738736969456,8,0.7317073170731688,3,0.8966521106259018,1,0.6086956521739116,1,2023-07-03 20:00:00,0.6549041683504365,1.2254245511887356,0.8318840579710147,0.5448043371494937,1.746411115601164,2.495652173913044,0.3333333333333333,0.6073285631845917,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-07-03 08:00:00,2023-07-04 16:00:00,2023-07-05 04:00:00,2023-07-05 08:00:00,2023-07-05 08:00:00,0.3016,1,1,1,1,1,1,1.580645,0.561304,1.0,0.53265,0.333333,8,4,1.268519,0.5,1.0,0,,ADA_0026,0.23645320197043915,8,0.39834454216244825,3,0.6226415094339671,1,1.5806451612903207,1,2023-07-05 04:00:00,1.6846654595620507,1.5630727762803103,3.968035190615767,6.6848118279571,4.492441225498802,11.9041055718473,0.3333333333333333,1.8998380617593935,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-07-03 12:00:00,2023-07-04 20:00:00,2023-07-05 08:00:00,2023-07-05 12:00:00,2023-07-05 12:00:00,0.3016,1,1,1,1,0,1,0.57767,-1.146953,0.542373,0.491597,0.333333,8,4,1.349206,0.5,1.0,0,,ADA_0027,0.6568914956011757,8,0.483870967741932,3,2.205955334987599,1,0.5776699029126141,1,2023-07-05 08:00:00,0.7366071428571346,4.558974358974404,1.1938511326860777,0.8793992718446456,1.9642857142856922,3.5815533980582335,0.3333333333333333,0.1285162502495914,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-07-04 12:00:00,2023-07-05 20:00:00,2023-07-06 08:00:00,2023-07-06 12:00:00,2023-07-06 12:00:00,0.297,1,1,1,1,0,1,0.815534,0.633852,0.906977,0.523841,0.333333,8,4,1.017341,0.5,1.0,0,,ADA_0033,1.9527658899984173,8,0.666357093104247,3,1.1747126436781639,1,0.8155339805825257,1,2023-07-06 08:00:00,0.3412375730839845,1.7628875805999535,1.2238692872365673,0.41763018534863217,0.909966861557292,3.671607861709702,0.3333333333333333,0.8731589621030229,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-07-04 20:00:00,2023-07-06 04:00:00,2023-07-06 16:00:00,2023-07-06 20:00:00,2023-07-06 20:00:00,0.2967,1,1,0,1,0,1,0.790795,-0.647149,0.6,0.666872,0.666667,8,4,1.035294,0.5,1.0,0,,ADA_0035,1.3078000934142933,8,0.8628659476117083,3,1.14925373134328,1,0.7907949790794991,1,2023-07-06 16:00:00,0.6597842835130951,1.3319029850746258,0.916474895397493,0.6046757322175738,1.75942475603492,2.7494246861924796,0.3333333333333333,0.5030629444454798,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-06 12:00:00,2023-07-07 20:00:00,2023-07-08 08:00:00,2023-07-08 12:00:00,2023-07-08 12:00:00,0.2761,1,1,1,1,0,1,0.526976,-0.272109,0.421053,0.652778,0.333333,8,4,0.6875,0.5,1.0,0,,ADA_0045,0.08891241069065729,8,0.051020408163269186,3,0.541717049576781,1,0.5269761606022597,1,2023-07-08 08:00:00,0.5738277453839219,10.6176541717041,10.328732747803505,5.926913425345165,1.5302073210237916,30.986198243410517,0.3333333333333333,1.779503575873504,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,DOWN,2023-07-08 20:00:00,2023-07-10 04:00:00,2023-07-10 16:00:00,2023-07-10 20:00:00,2023-07-10 20:00:00,0.2918,1,1,1,1,1,1,0.766823,1.822565,1.0,0.63984,0.333333,8,4,0.912409,0.5,1.0,0,,ADA_0059,1.523331240845366,8,1.057537769206037,3,1.19809825673533,1,0.7668231611893576,1,2023-07-10 16:00:00,0.6942270603070945,1.1329129716424415,0.7251023873738921,0.5033856988082331,1.8512721608189184,2.175307162121676,0.3333333333333333,0.6863986058854377,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
ADAUSDT,1H_FALLBACK,UP,2023-07-09 20:00:00,2023-07-11 04:00:00,2023-07-11 16:00:00,2023-07-11 20:00:00,2023-07-11 20:00:00,0.2781,1,1,1,1,1,1,0.654206,0.394366,1.0,0.845971,0.333333,8,4,0.39726,0.5,1.0,0,,ADA_0065,1.3418715141499729,8,0.2190923317683883,3,0.8425925925925961,1,0.6542056074766364,1,2023-07-11 16:00:00,0.16327370352382461,3.845833333333346,2.9859813084112163,0.4875322268772148,0.43539654273019895,8.95794392523365,0.3333333333333333,0.7183988843143683,NONE,balance_duration_bars=1 and reassertion_duration_bars=1 under committed detector
