comparison,segment,parent_direction,support_count,paired_rank_contrast,above_control_fraction,chronological_thirds_exhaustive
PROPORTIONAL_COUNTER,1,UP,28,1.0,1.0,1
PROPORTIONAL_COUNTER,1,DOWN,27,1.0,1.0,1
PROPORTIONAL_COUNTER,2,UP,22,1.0,1.0,1
PROPORTIONAL_COUNTER,2,DOWN,38,1.0,1.0,1
PROPORTIONAL_COUNTER,3,UP,17,1.0,1.0,1
PROPORTIONAL_COUNTER,3,DOWN,23,1.0,1.0,1
COMPACT_TRANSITION,1,UP,10,1.0,1.0,1
COMPACT_TRANSITION,1,DOWN,15,1.0,1.0,1
COMPACT_TRANSITION,2,UP,14,1.0,1.0,1
COMPACT_TRANSITION,2,DOWN,17,1.0,1.0,1
COMPACT_TRANSITION,3,UP,11,1.0,1.0,1
COMPACT_TRANSITION,3,DOWN,13,1.0,1.0,1
STRONG_REASSERTION,1,UP,47,1.0,1.0,1
STRONG_REASSERTION,1,DOWN,51,1.0,1.0,1
STRONG_REASSERTION,2,UP,34,1.0,1.0,1
STRONG_REASSERTION,2,DOWN,54,1.0,1.0,1
STRONG_REASSERTION,3,UP,46,1.0,1.0,1
STRONG_REASSERTION,3,DOWN,52,1.0,1.0,1
FAST_REASSERTION,1,UP,58,1.0,1.0,1
FAST_REASSERTION,1,DOWN,61,1.0,1.0,1
FAST_REASSERTION,2,UP,47,1.0,1.0,1
FAST_REASSERTION,2,DOWN,74,1.0,1.0,1
FAST_REASSERTION,3,UP,58,1.0,1.0,1
FAST_REASSERTION,3,DOWN,65,1.0,1.0,1
GEOMETRIC_CHAIN,1,UP,4,1.0,1.0,1
GEOMETRIC_CHAIN,1,DOWN,6,1.0,1.0,1
GEOMETRIC_CHAIN,2,UP,4,1.0,1.0,1
GEOMETRIC_CHAIN,2,DOWN,13,1.0,1.0,1
GEOMETRIC_CHAIN,3,UP,4,1.0,1.0,1
GEOMETRIC_CHAIN,3,DOWN,6,1.0,1.0,1
counter_parent_ratio__FINITE,1,UP,59,,,1
counter_parent_ratio__FINITE,1,DOWN,64,,,1
counter_parent_ratio__FINITE,2,UP,49,,,1
counter_parent_ratio__FINITE,2,DOWN,74,,,1
counter_parent_ratio__FINITE,3,UP,58,,,1
counter_parent_ratio__FINITE,3,DOWN,65,,,1
balance_counter_ratio__FINITE,1,UP,59,,,1
balance_counter_ratio__FINITE,1,DOWN,62,,,1
balance_counter_ratio__FINITE,2,UP,48,,,1
balance_counter_ratio__FINITE,2,DOWN,74,,,1
balance_counter_ratio__FINITE,3,UP,58,,,1
balance_counter_ratio__FINITE,3,DOWN,65,,,1
reassertion_counter_ratio__FINITE,1,UP,59,,,1
reassertion_counter_ratio__FINITE,1,DOWN,62,,,1
reassertion_counter_ratio__FINITE,2,UP,48,,,1
reassertion_counter_ratio__FINITE,2,DOWN,74,,,1
reassertion_counter_ratio__FINITE,3,UP,58,,,1
reassertion_counter_ratio__FINITE,3,DOWN,65,,,1
reassertion_parent_ratio__FINITE,1,UP,59,,,1
reassertion_parent_ratio__FINITE,1,DOWN,64,,,1
reassertion_parent_ratio__FINITE,2,UP,49,,,1
reassertion_parent_ratio__FINITE,2,DOWN,74,,,1
reassertion_parent_ratio__FINITE,3,UP,58,,,1
reassertion_parent_ratio__FINITE,3,DOWN,65,,,1
counter_speed_ratio__FINITE,1,UP,59,,,1
counter_speed_ratio__FINITE,1,DOWN,64,,,1
counter_speed_ratio__FINITE,2,UP,49,,,1
counter_speed_ratio__FINITE,2,DOWN,74,,,1
counter_speed_ratio__FINITE,3,UP,58,,,1
counter_speed_ratio__FINITE,3,DOWN,65,,,1
reassertion_counter_speed_ratio__FINITE,1,UP,59,,,1
reassertion_counter_speed_ratio__FINITE,1,DOWN,62,,,1
reassertion_counter_speed_ratio__FINITE,2,UP,48,,,1
reassertion_counter_speed_ratio__FINITE,2,DOWN,74,,,1
reassertion_counter_speed_ratio__FINITE,3,UP,58,,,1
reassertion_counter_speed_ratio__FINITE,3,DOWN,65,,,1
balance_time_ratio__FINITE,1,UP,59,,,1
balance_time_ratio__FINITE,1,DOWN,64,,,1
balance_time_ratio__FINITE,2,UP,49,,,1
balance_time_ratio__FINITE,2,DOWN,74,,,1
balance_time_ratio__FINITE,3,UP,58,,,1
balance_time_ratio__FINITE,3,DOWN,65,,,1
transition_symmetry__FINITE,1,UP,59,,,1
transition_symmetry__FINITE,1,DOWN,62,,,1
transition_symmetry__FINITE,2,UP,48,,,1
transition_symmetry__FINITE,2,DOWN,74,,,1
transition_symmetry__FINITE,3,UP,58,,,1
transition_symmetry__FINITE,3,DOWN,65,,,1
