parameter_factor,comparison,state_family,actual_detector_run,accepted_support,support_count,detection_overlap_with_factor_1_0,control_rank_contrast,contrast_direction,direction_stability,chronological_third_stability,verdict_stability
0.8,AGE_1_2,AGE,1,545,0,0.7798165137614679,0.0,FLAT,CONSISTENT,CONSISTENT,LIMITED
0.8,AGE_3_4,AGE,1,545,0,0.7798165137614679,0.0,FLAT,CONSISTENT,CONSISTENT,LIMITED
0.8,AGE_5_8,AGE,1,545,545,0.7798165137614679,0.9779816513761468,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,AGE_9_PLUS,AGE,1,545,0,0.7798165137614679,0.0,FLAT,CONSISTENT,CONSISTENT,LIMITED
0.8,DISPLACEMENT_Q1,DISPLACEMENT,1,545,138,0.7798165137614679,0.9855072463768116,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,DISPLACEMENT_Q2,DISPLACEMENT,1,545,141,0.7798165137614679,0.9716312056737588,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,DISPLACEMENT_Q3,DISPLACEMENT,1,545,132,0.7798165137614679,0.9848484848484849,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,DISPLACEMENT_Q4,DISPLACEMENT,1,545,134,0.7798165137614679,0.9701492537313433,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,BOUNDARY_DISTANCE_Q1,BOUNDARY_DISTANCE,1,545,139,0.7798165137614679,0.9712230215827338,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,BOUNDARY_DISTANCE_Q2,BOUNDARY_DISTANCE,1,545,132,0.7798165137614679,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,BOUNDARY_DISTANCE_Q3,BOUNDARY_DISTANCE,1,545,142,0.7798165137614679,0.971830985915493,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,BOUNDARY_DISTANCE_Q4,BOUNDARY_DISTANCE,1,545,132,0.7798165137614679,0.9696969696969697,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,EFFICIENCY_1,EFFICIENCY,1,545,458,0.7798165137614679,0.9781659388646288,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,EFFICIENCY_2,EFFICIENCY,1,545,84,0.7798165137614679,0.9761904761904762,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,EFFICIENCY_3,EFFICIENCY,1,545,3,0.7798165137614679,1.0,POSITIVE,MIXED_OR_EMPTY,MIXED_OR_EMPTY,LIMITED
0.8,EFFICIENCY_4,EFFICIENCY,1,545,0,0.7798165137614679,0.0,FLAT,CONSISTENT,CONSISTENT,LIMITED
0.8,CLOSE_LOCATION_1,CLOSE_LOCATION,1,545,5,0.7798165137614679,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,CLOSE_LOCATION_2,CLOSE_LOCATION,1,545,72,0.7798165137614679,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,CLOSE_LOCATION_3,CLOSE_LOCATION,1,545,218,0.7798165137614679,0.9724770642201835,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,CLOSE_LOCATION_4,CLOSE_LOCATION,1,545,250,0.7798165137614679,0.976,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,EXTREME_RETRACEMENT_1,EXTREME_RETRACEMENT,1,545,21,0.7798165137614679,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,EXTREME_RETRACEMENT_2,EXTREME_RETRACEMENT,1,545,55,0.7798165137614679,0.9636363636363636,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,EXTREME_RETRACEMENT_3,EXTREME_RETRACEMENT,1,545,115,0.7798165137614679,0.9652173913043478,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,EXTREME_RETRACEMENT_4,EXTREME_RETRACEMENT,1,545,354,0.7798165137614679,0.9830508474576272,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,SLOPE_ACCELERATING,SLOPE_STATE,1,545,211,0.7798165137614679,0.9715639810426541,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,SLOPE_STABLE,SLOPE_STATE,1,545,111,0.7798165137614679,0.963963963963964,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,SLOPE_DECELERATING,SLOPE_STATE,1,545,223,0.7798165137614679,0.9910313901345291,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,RANGE_CONTRACTION,RANGE_STATE,1,545,131,0.7798165137614679,0.9541984732824428,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,RANGE_STABLE,RANGE_STATE,1,545,250,0.7798165137614679,0.992,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,RANGE_EXPANSION,RANGE_STATE,1,545,164,0.7798165137614679,0.975609756097561,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,YOUNG_EFFICIENT,JOINT,1,545,0,0.7798165137614679,0.0,FLAT,CONSISTENT,CONSISTENT,LIMITED
0.8,MATURE_DECELERATING,JOINT,1,545,223,0.7798165137614679,0.9910313901345291,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,EXTENDED_NEAR_EXTREME,JOINT,1,545,49,0.7798165137614679,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,MATURE_RETRACED,JOINT,1,545,469,0.7798165137614679,0.9786780383795309,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
0.8,PARENT_EXHAUSTION_STATE,JOINT,1,545,182,0.7798165137614679,0.989010989010989,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,AGE_1_2,AGE,1,425,0,1.0,0.0,FLAT,CONSISTENT,CONSISTENT,LIMITED
1.0,AGE_3_4,AGE,1,425,0,1.0,0.0,FLAT,CONSISTENT,CONSISTENT,LIMITED
1.0,AGE_5_8,AGE,1,425,425,1.0,0.9952941176470588,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,AGE_9_PLUS,AGE,1,425,0,1.0,0.0,FLAT,CONSISTENT,CONSISTENT,LIMITED
1.0,DISPLACEMENT_Q1,DISPLACEMENT,1,425,106,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,DISPLACEMENT_Q2,DISPLACEMENT,1,425,106,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,DISPLACEMENT_Q3,DISPLACEMENT,1,425,106,1.0,0.9811320754716981,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,DISPLACEMENT_Q4,DISPLACEMENT,1,425,107,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,BOUNDARY_DISTANCE_Q1,BOUNDARY_DISTANCE,1,425,106,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,BOUNDARY_DISTANCE_Q2,BOUNDARY_DISTANCE,1,425,106,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,BOUNDARY_DISTANCE_Q3,BOUNDARY_DISTANCE,1,425,106,1.0,0.9811320754716981,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,BOUNDARY_DISTANCE_Q4,BOUNDARY_DISTANCE,1,425,107,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,EFFICIENCY_1,EFFICIENCY,1,425,356,1.0,0.9943820224719101,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,EFFICIENCY_2,EFFICIENCY,1,425,67,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,EFFICIENCY_3,EFFICIENCY,1,425,2,1.0,1.0,POSITIVE,MIXED_OR_EMPTY,MIXED_OR_EMPTY,LIMITED
1.0,EFFICIENCY_4,EFFICIENCY,1,425,0,1.0,0.0,FLAT,CONSISTENT,CONSISTENT,LIMITED
1.0,CLOSE_LOCATION_1,CLOSE_LOCATION,1,425,3,1.0,1.0,POSITIVE,MIXED_OR_EMPTY,CONSISTENT,LIMITED
1.0,CLOSE_LOCATION_2,CLOSE_LOCATION,1,425,56,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,CLOSE_LOCATION_3,CLOSE_LOCATION,1,425,167,1.0,0.9880239520958084,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,CLOSE_LOCATION_4,CLOSE_LOCATION,1,425,199,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,EXTREME_RETRACEMENT_1,EXTREME_RETRACEMENT,1,425,16,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,EXTREME_RETRACEMENT_2,EXTREME_RETRACEMENT,1,425,40,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,EXTREME_RETRACEMENT_3,EXTREME_RETRACEMENT,1,425,94,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,EXTREME_RETRACEMENT_4,EXTREME_RETRACEMENT,1,425,275,1.0,0.9927272727272727,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,SLOPE_ACCELERATING,SLOPE_STATE,1,425,168,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,SLOPE_STABLE,SLOPE_STATE,1,425,90,1.0,0.9777777777777777,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,SLOPE_DECELERATING,SLOPE_STATE,1,425,167,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,RANGE_CONTRACTION,RANGE_STATE,1,425,95,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
1.0,RANGE_STABLE,RANGE_STATE,1,425,198,1.0,1.0,POSITIVE,CONSISTENT,CONSISTENT,LIMITED
