instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,parent_state_time,parent_origin_time,parent_age_bars,parent_full_executable_duration_bars,parent_state_causal_assertion,parent_displacement_atr,parent_efficiency,parent_extension_from_origin_atr,parent_close_location,parent_recent_slope_atr,parent_slope_change_atr,parent_range_expansion_ratio,parent_body_efficiency,distance_to_parent_boundary_atr,distance_from_parent_extreme_atr,parent_maturity_fraction,invalid_measurement_flags,mechanical_redundancy
ADAUSDT,1H_FALLBACK,UP,2023-07-01 00:00:00,2023-07-02 08:00:00,2023-07-02 20:00:00,2023-07-03 00:00:00,2023-07-03 00:00:00,0.2812,1,1,1,1,0,1,0.721078,-0.23371,0.282051,0.678721,0.333333,8,4,0.88189,0.5,1.0,0,,ADA_0012,2023-07-02 04:00:00,2023-07-01 00:00:00,8,8,1,0.6750787683222021,0.08894878706199523,1.6160976574985964,0.6377952755905514,0.08182772949359819,-0.03409488728900367,1.0381679389312934,0.15662650602409864,1.6570115222453918,0.9410188891763943,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-01 16:00:00,2023-07-03 00:00:00,2023-07-03 12:00:00,2023-07-03 16:00:00,2023-07-03 16:00:00,0.2853,1,1,1,1,0,1,0.594059,-0.06161,0.142857,0.815203,0.333333,8,4,1.05814,0.5,1.0,0,,ADA_0016,2023-07-02 20:00:00,2023-07-01 16:00:00,8,8,1,0.7446251973545543,0.09668508287292808,1.233950327044683,0.7325581395348872,0.07800835400857552,0.2127500563870195,1.2519685039370054,0.28205128205129665,1.3403253552382026,0.48932512969012865,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-02 00:00:00,2023-07-03 08:00:00,2023-07-03 20:00:00,2023-07-04 00:00:00,2023-07-04 00:00:00,0.2853,1,1,0,1,0,1,0.608696,-0.386179,0.358491,0.765203,0.666667,8,4,0.839286,0.5,1.0,0,,ADA_0018,2023-07-03 04:00:00,2023-07-02 00:00:00,8,8,1,1.1172738736969456,0.1315136476426804,1.6021285736031583,0.7946428571428598,0.3443171057305046,0.3443171057305046,1.1805555555555463,0.7313432835820997,1.876176882245809,0.48485469990621266,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-07-03 08:00:00,2023-07-04 16:00:00,2023-07-05 04:00:00,2023-07-05 08:00:00,2023-07-05 08:00:00,0.3016,1,1,1,1,1,1,1.580645,0.561304,1.0,0.53265,0.333333,8,4,1.268519,0.5,1.0,0,,ADA_0026,2023-07-04 12:00:00,2023-07-03 08:00:00,8,8,1,0.23645320197043915,0.02690582959641213,0.7881773399014784,0.7407407407407379,0.4072249589490957,0.6962233169129719,1.0280898876404494,0.6494845360824686,1.576354679802946,0.5517241379310392,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-07-03 12:00:00,2023-07-04 20:00:00,2023-07-05 08:00:00,2023-07-05 12:00:00,2023-07-05 12:00:00,0.3016,1,1,1,1,0,1,0.57767,-1.146953,0.542373,0.491597,0.333333,8,4,1.349206,0.5,1.0,0,,ADA_0027,2023-07-04 16:00:00,2023-07-03 12:00:00,8,8,1,0.6568914956011757,0.07218683651804704,1.2365016387786816,0.7619047619047616,0.19320338105916868,-0.025760450807889856,1.02352941176471,0.4848484848484782,1.854752458168017,0.579610143177506,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-07-04 12:00:00,2023-07-05 20:00:00,2023-07-06 08:00:00,2023-07-06 12:00:00,2023-07-06 12:00:00,0.297,1,1,1,1,0,1,0.815534,0.633852,0.906977,0.523841,0.333333,8,4,1.017341,0.5,1.0,0,,ADA_0033,2023-07-05 16:00:00,2023-07-04 12:00:00,8,8,1,1.9527658899984173,0.2217741935483869,2.467585988270729,0.8323699421965308,0.7396840492418214,0.9231256934537933,2.316239316239309,1.0,2.556348074179738,0.514820098272312,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-07-04 20:00:00,2023-07-06 04:00:00,2023-07-06 16:00:00,2023-07-06 20:00:00,2023-07-06 20:00:00,0.2967,1,1,0,1,0,1,0.790795,-0.647149,0.6,0.666872,0.666667,8,4,1.035294,0.5,1.0,0,,ADA_0035,2023-07-06 00:00:00,2023-07-04 20:00:00,8,8,1,1.3078000934142933,0.16094420600858353,2.2145414915148662,0.6941176470588248,-0.13368623177123695,-0.8079298354870498,0.64655172413793,-1.0,2.057605480305159,0.9067413981005729,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-06 12:00:00,2023-07-07 20:00:00,2023-07-08 08:00:00,2023-07-08 12:00:00,2023-07-08 12:00:00,0.2761,1,1,1,1,0,1,0.526976,-0.272109,0.421053,0.652778,0.333333,8,4,0.6875,0.5,1.0,0,,ADA_0045,2023-07-07 16:00:00,2023-07-06 12:00:00,8,8,1,0.08891241069065729,0.011741682974559511,0.9632177824821385,0.5390624999999979,0.16794566463790914,0.37540795624944556,0.8323353293413125,0.6140350877192849,1.0224927229425713,0.8743053717914813,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,DOWN,2023-07-08 20:00:00,2023-07-10 04:00:00,2023-07-10 16:00:00,2023-07-10 20:00:00,2023-07-10 20:00:00,0.2918,1,1,1,1,1,1,0.766823,1.822565,1.0,0.63984,0.333333,8,4,0.912409,0.5,1.0,0,,ADA_0059,2023-07-10 00:00:00,2023-07-08 20:00:00,8,8,1,1.523331240845366,0.2173913043478256,2.9529190207156297,0.5547445255474454,0.16405105670642317,-0.1249912813001317,1.277777777777777,1.0,1.781125758526887,1.4295877798702639,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
ADAUSDT,1H_FALLBACK,UP,2023-07-09 20:00:00,2023-07-11 04:00:00,2023-07-11 16:00:00,2023-07-11 20:00:00,2023-07-11 20:00:00,0.2781,1,1,1,1,1,1,0.654206,0.394366,1.0,0.845971,0.333333,8,4,0.39726,0.5,1.0,0,,ADA_0065,2023-07-11 00:00:00,2023-07-09 20:00:00,8,8,1,1.3418715141499729,0.13615023474178478,1.9202644081801312,0.8287671232876711,0.17737382083591696,-0.10796667355229284,1.0192307692307672,0.2553191489361711,2.7994216071059643,0.5783928940301585,1.0,NONE,parent_age_bars and parent_maturity_fraction are fixed at 8/1.0 by the committed EXP-014 executable parent window
