comparison,state_family,definition,support_count,retained_fraction_from_base,support_inside_boundary,support_outside_boundary,boundary_without_state_support,boundary_without_state_contrast,rate_per_1000_parent_bars,up_support,up_contrast,down_support,down_contrast,sample_collapse_flag,concentration_flag,incremental_vs_base_equal_support,incremental_vs_boundary,incremental_vs_boundary_without_state,incremental_vs_boundary_equal_support,independence_flag,reassertion_atr_median,reassertion_atr_mean,matched_control_median,matched_control_mean,paired_rank_contrast,above_matched_control_fraction,distribution_overlap
AGE_1_2,AGE,1-2,0,0.0,0,0,369,0.994579945799458,0.0,0,0.0,0,0.0,YES,NO,0.0,-0.9952941176470588,-0.994579945799458,,NOT_INDEPENDENT,0,0.0,0,0.0,0.0,0.0,0.0
AGE_3_4,AGE,3-4,0,0.0,0,0,369,0.994579945799458,0.0,0,0.0,0,0.0,YES,NO,0.0,-0.9952941176470588,-0.994579945799458,,NOT_INDEPENDENT,0,0.0,0,0.0,0.0,0.0,0.0
AGE_5_8,AGE,5-8,425,1.0,369,56,0,0.0,128.78787878787878,192,1.0,233,0.9914163090128756,NO,NO,0.0,0.0,0.994579945799458,0.0,NOT_INDEPENDENT,0.759124,0.9123423388235283,-0.15083553,-0.1722674853411764,0.9952941176470588,0.9976470588235294,-0.17591270586535185
AGE_9_PLUS,AGE,9+,0,0.0,0,0,369,0.994579945799458,0.0,0,0.0,0,0.0,YES,NO,0.0,-0.9952941176470588,-0.994579945799458,,NOT_INDEPENDENT,0,0.0,0,0.0,0.0,0.0,0.0
DISPLACEMENT_Q1,DISPLACEMENT,deterministic full-source quartile,106,0.24941176470588236,84,22,285,0.9929824561403509,32.121212121212125,49,1.0,57,1.0,NO,NO,0.0,0.004705882352941226,0.007017543859649145,0.0,LIMITED,0.764885,0.9043622264150939,-0.15083553,-0.17137680528301885,1.0,1.0,-0.18671732901188884
DISPLACEMENT_Q2,DISPLACEMENT,deterministic full-source quartile,106,0.24941176470588236,90,16,279,0.992831541218638,32.121212121212125,51,1.0,55,1.0,NO,NO,0.0,0.004705882352941226,0.007168458781361964,0.0,LIMITED,0.7176210000000001,0.8906284150943395,-0.17671392,-0.19830835990566034,1.0,1.0,-0.21763660948706345
DISPLACEMENT_Q3,DISPLACEMENT,deterministic full-source quartile,106,0.24941176470588236,90,16,279,1.0,32.121212121212125,44,1.0,62,0.967741935483871,NO,NO,-0.018867924528301883,-0.014162042175360656,-0.022222222222222254,-0.022222222222222254,LIMITED,0.7688465,0.930720386792453,-0.127397965,-0.16874765132075467,0.9811320754716981,0.9905660377358491,-0.1463976979603364
DISPLACEMENT_Q4,DISPLACEMENT,deterministic full-source quartile,107,0.25176470588235295,105,2,264,0.9924242424242424,32.42424242424242,48,1.0,59,1.0,NO,NO,0.01869158878504673,0.004705882352941226,0.007575757575757569,0.0,LIMITED,0.77643,0.9235525700934581,-0.15083553,-0.1508392777570093,1.0,1.0,-0.15311426661766225
BOUNDARY_DISTANCE_Q1,BOUNDARY_DISTANCE,deterministic full-source quartile,106,0.24941176470588236,76,30,293,0.9931740614334471,32.121212121212125,50,1.0,56,1.0,NO,NO,0.0,0.004705882352941226,0.0068259385665528916,0.0,LIMITED,0.7696700000000001,0.8894929622641501,-0.15083553,-0.15713703339622637,1.0,1.0,-0.16086836074485036
BOUNDARY_DISTANCE_Q2,BOUNDARY_DISTANCE,deterministic full-source quartile,106,0.24941176470588236,90,16,279,0.992831541218638,32.121212121212125,49,1.0,57,1.0,NO,NO,0.0,0.004705882352941226,0.007168458781361964,0.0,LIMITED,0.7445065,0.9725862735849057,-0.15083553,-0.16265287311320753,1.0,1.0,-0.18813050629916406
BOUNDARY_DISTANCE_Q3,BOUNDARY_DISTANCE,deterministic full-source quartile,106,0.24941176470588236,97,9,272,1.0,32.121212121212125,40,1.0,66,0.9696969696969697,NO,NO,-0.018867924528301883,-0.014162042175360656,-0.020618556701030966,-0.020618556701030966,LIMITED,0.7321485,0.8730707264150948,-0.15083553,-0.19109659867924528,0.9811320754716981,0.9905660377358491,-0.1961032277279924
BOUNDARY_DISTANCE_Q4,BOUNDARY_DISTANCE,deterministic full-source quartile,107,0.25176470588235295,106,1,263,0.9923954372623575,32.42424242424242,53,1.0,54,1.0,NO,NO,0.01869158878504673,0.004705882352941226,0.0076045627376425395,0.0,LIMITED,0.764307,0.91420185046729,-0.18192558,-0.17812814691588777,1.0,1.0,-0.15871100884992267
EFFICIENCY_1,EFFICIENCY,fixed predeclared band,356,0.8376470588235294,300,56,69,1.0,107.87878787878788,157,1.0,199,0.9899497487437185,NO,NO,0.0,-0.000912095175148675,-0.00666666666666671,0.0,LIMITED,0.7583960000000001,0.9051804353932577,-0.15083553,-0.18649636494382021,0.9943820224719101,0.9971910112359551,-0.189661692543554
EFFICIENCY_2,EFFICIENCY,fixed predeclared band,67,0.15764705882352942,67,0,302,0.9933774834437086,20.303030303030305,33,1.0,34,1.0,NO,NO,0.0,0.004705882352941226,0.0066225165562914245,0.0,LIMITED,0.773006,0.9603865671641791,-0.15083553,-0.10373343014925375,1.0,1.0,-0.11238379386208722
EFFICIENCY_3,EFFICIENCY,fixed predeclared band,2,0.004705882352941176,2,0,367,0.9945504087193461,0.6060606060606061,2,1.0,0,0.0,YES,NO,0.0,0.004705882352941226,0.00544959128065392,0.0,NOT_INDEPENDENT,0.5776795,0.5776795,0.06458223500000002,0.06458223500000002,1.0,1.0,0.14318837074528307
EFFICIENCY_4,EFFICIENCY,fixed predeclared band,0,0.0,0,0,369,0.994579945799458,0.0,0,0.0,0,0.0,YES,NO,0.0,-0.9952941176470588,-0.994579945799458,,NOT_INDEPENDENT,0,0.0,0,0.0,0.0,0.0,0.0
