comparison,segment,parent_direction,support_count,paired_rank_contrast,above_matched_control_fraction,chronological_thirds_exhaustive
AGE_1_2,1,UP,0,0.0,0.0,1
AGE_1_2,1,DOWN,0,0.0,0.0,1
AGE_1_2,2,UP,0,0.0,0.0,1
AGE_1_2,2,DOWN,0,0.0,0.0,1
AGE_1_2,3,UP,0,0.0,0.0,1
AGE_1_2,3,DOWN,0,0.0,0.0,1
AGE_3_4,1,UP,0,0.0,0.0,1
AGE_3_4,1,DOWN,0,0.0,0.0,1
AGE_3_4,2,UP,0,0.0,0.0,1
AGE_3_4,2,DOWN,0,0.0,0.0,1
AGE_3_4,3,UP,0,0.0,0.0,1
AGE_3_4,3,DOWN,0,0.0,0.0,1
AGE_5_8,1,UP,65,1.0,1.0,1
AGE_5_8,1,DOWN,77,0.974025974025974,0.987012987012987,1
AGE_5_8,2,UP,57,1.0,1.0,1
AGE_5_8,2,DOWN,85,1.0,1.0,1
AGE_5_8,3,UP,70,1.0,1.0,1
AGE_5_8,3,DOWN,71,1.0,1.0,1
AGE_9_PLUS,1,UP,0,0.0,0.0,1
AGE_9_PLUS,1,DOWN,0,0.0,0.0,1
AGE_9_PLUS,2,UP,0,0.0,0.0,1
AGE_9_PLUS,2,DOWN,0,0.0,0.0,1
AGE_9_PLUS,3,UP,0,0.0,0.0,1
AGE_9_PLUS,3,DOWN,0,0.0,0.0,1
DISPLACEMENT_Q1,1,UP,15,1.0,1.0,1
DISPLACEMENT_Q1,1,DOWN,18,1.0,1.0,1
DISPLACEMENT_Q1,2,UP,17,1.0,1.0,1
DISPLACEMENT_Q1,2,DOWN,24,1.0,1.0,1
DISPLACEMENT_Q1,3,UP,17,1.0,1.0,1
DISPLACEMENT_Q1,3,DOWN,15,1.0,1.0,1
DISPLACEMENT_Q2,1,UP,21,1.0,1.0,1
DISPLACEMENT_Q2,1,DOWN,19,1.0,1.0,1
DISPLACEMENT_Q2,2,UP,15,1.0,1.0,1
DISPLACEMENT_Q2,2,DOWN,18,1.0,1.0,1
DISPLACEMENT_Q2,3,UP,15,1.0,1.0,1
DISPLACEMENT_Q2,3,DOWN,18,1.0,1.0,1
