counterexample_type,representation,interval_id,parent_direction,reason
LARGE_ORIGIN_DISAGREEMENT_NO_SELECTION,ATR_ORIGIN,ADA_0531,DOWN,origin differs causally; representation is retained descriptively without outcome selection
LARGE_ORIGIN_DISAGREEMENT_NO_SELECTION,ATR_ORIGIN,ADA_0645,DOWN,origin differs causally; representation is retained descriptively without outcome selection
LARGE_ORIGIN_DISAGREEMENT_NO_SELECTION,ATR_ORIGIN,ADA_3162,DOWN,origin differs causally; representation is retained descriptively without outcome selection
LARGE_ORIGIN_DISAGREEMENT_NO_SELECTION,ATR_ORIGIN,ADA_3020,UP,origin differs causally; representation is retained descriptively without outcome selection
LARGE_ORIGIN_DISAGREEMENT_NO_SELECTION,ATR_ORIGIN,ADA_1188,UP,origin differs causally; representation is retained descriptively without outcome selection
INVALIDITY_OR_CAP_ARTIFACT,ATR_ORIGIN,ADA_0012,UP,ATR_1_NOT_REACHED
INVALIDITY_OR_CAP_ARTIFACT,ATR_ORIGIN,ADA_0045,UP,ATR_1_NOT_REACHED
INVALIDITY_OR_CAP_ARTIFACT,ATR_ORIGIN,ADA_0153,UP,ATR_1_NOT_REACHED
INVALIDITY_OR_CAP_ARTIFACT,ATR_ORIGIN,ADA_0530,UP,ATR_1_NOT_REACHED
INVALIDITY_OR_CAP_ARTIFACT,ATR_ORIGIN,ADA_0555,DOWN,ATR_1_NOT_REACHED
LARGE_ORIGIN_DISAGREEMENT_NO_SELECTION,CONFIRMED_DIRECTION_CHANGE,ADA_2587,UP,origin differs causally; representation is retained descriptively without outcome selection
INVALIDITY_OR_CAP_ARTIFACT,CONFIRMED_DIRECTION_CHANGE,ADA_0026,DOWN,NO_CONFIRMED_CHANGE_32
INVALIDITY_OR_CAP_ARTIFACT,CONFIRMED_DIRECTION_CHANGE,ADA_0027,DOWN,NO_CONFIRMED_CHANGE_32
INVALIDITY_OR_CAP_ARTIFACT,HYBRID_ORIGIN,ADA_0012,UP,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
INVALIDITY_OR_CAP_ARTIFACT,HYBRID_ORIGIN,ADA_0045,UP,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
INVALIDITY_OR_CAP_ARTIFACT,HYBRID_ORIGIN,ADA_0153,UP,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
INVALIDITY_OR_CAP_ARTIFACT,HYBRID_ORIGIN,ADA_0530,UP,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
INVALIDITY_OR_CAP_ARTIFACT,HYBRID_ORIGIN,ADA_0555,DOWN,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
