parameter_factor,representation,actual_detector_run,source_support,source_overlap_factor_1_0,valid_support,validity_rate,age_variability,age_iqr,median_origin_disagreement_bars,contrast,contrast_direction,direction_time_stability,verdict_stability
0.8,FIXED_8,1,545,0.7798165137614679,545,1.0,False,0.0,0.0,0.9779816513761468,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
0.8,DIRECTION_RUN,1,545,0.7798165137614679,545,1.0,True,2.0,6.0,0.9779816513761468,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
0.8,ATR_ORIGIN,1,545,0.7798165137614679,505,0.926605504587156,True,5.0,3.0,0.9762376237623762,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
0.8,CONFIRMED_DIRECTION_CHANGE,1,545,0.7798165137614679,543,0.9963302752293578,True,4.0,3.0,0.9779005524861878,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
0.8,HYBRID_ORIGIN,1,545,0.7798165137614679,505,0.926605504587156,True,2.0,6.0,0.9762376237623762,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
1.0,FIXED_8,1,425,1.0,425,1.0,False,0.0,0.0,0.9952941176470588,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
1.0,DIRECTION_RUN,1,425,1.0,425,1.0,True,2.0,6.0,0.9952941176470588,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
1.0,ATR_ORIGIN,1,425,1.0,391,0.92,True,5.0,3.0,0.9948849104859335,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
1.0,CONFIRMED_DIRECTION_CHANGE,1,425,1.0,423,0.9952941176470588,True,4.0,3.0,0.9952718676122931,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
1.0,HYBRID_ORIGIN,1,425,1.0,391,0.92,True,2.0,6.0,0.9948849104859335,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
1.2,FIXED_8,1,318,0.7482352941176471,318,1.0,False,0.0,0.0,0.9937106918238994,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
1.2,DIRECTION_RUN,1,318,0.7482352941176471,318,1.0,True,2.0,6.0,0.9937106918238994,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
1.2,ATR_ORIGIN,1,318,0.7482352941176471,293,0.9213836477987422,True,5.0,3.0,0.9931740614334471,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
1.2,CONFIRMED_DIRECTION_CHANGE,1,318,0.7482352941176471,317,0.9968553459119497,True,4.0,3.0,0.9936908517350158,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
1.2,HYBRID_ORIGIN,1,318,0.7482352941176471,293,0.9213836477987422,True,2.0,6.0,0.9931740614334471,POSITIVE,REPORTED_IN_TIME_SEGMENT_SUMMARY,LIMITED
