representation,field,quartile,chronological_third,parent_direction,support_count,paired_rank_contrast,chronological_thirds_exhaustive
FIXED_8,age_bars,1,1,UP,0,0.0,1
FIXED_8,age_bars,1,1,DOWN,0,0.0,1
FIXED_8,age_bars,1,2,UP,0,0.0,1
FIXED_8,age_bars,1,2,DOWN,0,0.0,1
FIXED_8,age_bars,1,3,UP,0,0.0,1
FIXED_8,age_bars,1,3,DOWN,0,0.0,1
FIXED_8,age_bars,2,1,UP,0,0.0,1
FIXED_8,age_bars,2,1,DOWN,0,0.0,1
FIXED_8,age_bars,2,2,UP,0,0.0,1
FIXED_8,age_bars,2,2,DOWN,0,0.0,1
FIXED_8,age_bars,2,3,UP,0,0.0,1
FIXED_8,age_bars,2,3,DOWN,0,0.0,1
FIXED_8,age_bars,3,1,UP,0,0.0,1
FIXED_8,age_bars,3,1,DOWN,0,0.0,1
FIXED_8,age_bars,3,2,UP,0,0.0,1
FIXED_8,age_bars,3,2,DOWN,0,0.0,1
FIXED_8,age_bars,3,3,UP,0,0.0,1
FIXED_8,age_bars,3,3,DOWN,0,0.0,1
FIXED_8,age_bars,4,1,UP,65,1.0,1
FIXED_8,age_bars,4,1,DOWN,77,0.974025974025974,1
FIXED_8,age_bars,4,2,UP,57,1.0,1
FIXED_8,age_bars,4,2,DOWN,85,1.0,1
FIXED_8,age_bars,4,3,UP,70,1.0,1
FIXED_8,age_bars,4,3,DOWN,71,1.0,1
FIXED_8,displacement_atr,1,1,UP,15,1.0,1
FIXED_8,displacement_atr,1,1,DOWN,16,1.0,1
FIXED_8,displacement_atr,1,2,UP,16,1.0,1
FIXED_8,displacement_atr,1,2,DOWN,27,1.0,1
FIXED_8,displacement_atr,1,3,UP,16,1.0,1
FIXED_8,displacement_atr,1,3,DOWN,16,1.0,1
FIXED_8,displacement_atr,2,1,UP,23,1.0,1
FIXED_8,displacement_atr,2,1,DOWN,19,1.0,1
FIXED_8,displacement_atr,2,2,UP,12,1.0,1
FIXED_8,displacement_atr,2,2,DOWN,16,1.0,1
FIXED_8,displacement_atr,2,3,UP,19,1.0,1
FIXED_8,displacement_atr,2,3,DOWN,17,1.0,1
FIXED_8,displacement_atr,3,1,UP,13,1.0,1
FIXED_8,displacement_atr,3,1,DOWN,20,0.9,1
FIXED_8,displacement_atr,3,2,UP,20,1.0,1
FIXED_8,displacement_atr,3,2,DOWN,22,1.0,1
FIXED_8,displacement_atr,3,3,UP,13,1.0,1
FIXED_8,displacement_atr,3,3,DOWN,18,1.0,1
FIXED_8,displacement_atr,4,1,UP,14,1.0,1
FIXED_8,displacement_atr,4,1,DOWN,22,1.0,1
FIXED_8,displacement_atr,4,2,UP,9,1.0,1
FIXED_8,displacement_atr,4,2,DOWN,20,1.0,1
FIXED_8,displacement_atr,4,3,UP,22,1.0,1
FIXED_8,displacement_atr,4,3,DOWN,20,1.0,1
FIXED_8,efficiency,1,1,UP,15,1.0,1
FIXED_8,efficiency,1,1,DOWN,16,1.0,1
FIXED_8,efficiency,1,2,UP,14,1.0,1
FIXED_8,efficiency,1,2,DOWN,27,1.0,1
FIXED_8,efficiency,1,3,UP,18,1.0,1
FIXED_8,efficiency,1,3,DOWN,16,1.0,1
FIXED_8,efficiency,2,1,UP,23,1.0,1
FIXED_8,efficiency,2,1,DOWN,22,0.9090909090909091,1
FIXED_8,efficiency,2,2,UP,13,1.0,1
FIXED_8,efficiency,2,2,DOWN,18,1.0,1
FIXED_8,efficiency,2,3,UP,15,1.0,1
FIXED_8,efficiency,2,3,DOWN,15,1.0,1
FIXED_8,efficiency,3,1,UP,14,1.0,1
FIXED_8,efficiency,3,1,DOWN,15,1.0,1
FIXED_8,efficiency,3,2,UP,19,1.0,1
FIXED_8,efficiency,3,2,DOWN,25,1.0,1
FIXED_8,efficiency,3,3,UP,14,1.0,1
FIXED_8,efficiency,3,3,DOWN,19,1.0,1
FIXED_8,efficiency,4,1,UP,13,1.0,1
FIXED_8,efficiency,4,1,DOWN,24,1.0,1
FIXED_8,efficiency,4,2,UP,11,1.0,1
FIXED_8,efficiency,4,2,DOWN,15,1.0,1
