counterexample_type,symbol,representation,interval_id,reason
INVALID_OR_DEGENERATE,ADAUSDT,ATR_ORIGIN,ADA_0012,ATR_1_NOT_REACHED
INVALID_OR_DEGENERATE,ADAUSDT,ATR_ORIGIN,ADA_0045,ATR_1_NOT_REACHED
INVALID_OR_DEGENERATE,ADAUSDT,ATR_ORIGIN,ADA_0153,ATR_1_NOT_REACHED
INVALID_OR_DEGENERATE,ADAUSDT,ATR_ORIGIN,ADA_0530,ATR_1_NOT_REACHED
INVALID_OR_DEGENERATE,ADAUSDT,ATR_ORIGIN,ADA_0555,ATR_1_NOT_REACHED
ORIGIN_DISAGREEMENT_NO_DOWNSTREAM_SELECTION,ADAUSDT,ATR_ORIGIN,ADA_0531,causal origin differs; no outcome-based selection
ORIGIN_DISAGREEMENT_NO_DOWNSTREAM_SELECTION,ADAUSDT,ATR_ORIGIN,ADA_0645,causal origin differs; no outcome-based selection
ORIGIN_DISAGREEMENT_NO_DOWNSTREAM_SELECTION,ADAUSDT,ATR_ORIGIN,ADA_3162,causal origin differs; no outcome-based selection
INVALID_OR_DEGENERATE,ADAUSDT,CONFIRMED_DIRECTION_CHANGE,ADA_0026,NO_CONFIRMED_CHANGE_32
INVALID_OR_DEGENERATE,ADAUSDT,CONFIRMED_DIRECTION_CHANGE,ADA_0027,NO_CONFIRMED_CHANGE_32
ORIGIN_DISAGREEMENT_NO_DOWNSTREAM_SELECTION,ADAUSDT,CONFIRMED_DIRECTION_CHANGE,ADA_2587,causal origin differs; no outcome-based selection
INVALID_OR_DEGENERATE,ADAUSDT,HYBRID_ORIGIN,ADA_0012,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
INVALID_OR_DEGENERATE,ADAUSDT,HYBRID_ORIGIN,ADA_0045,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
INVALID_OR_DEGENERATE,ADAUSDT,HYBRID_ORIGIN,ADA_0153,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
INVALID_OR_DEGENERATE,ADAUSDT,HYBRID_ORIGIN,ADA_0530,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
INVALID_OR_DEGENERATE,ADAUSDT,HYBRID_ORIGIN,ADA_0555,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
DIRECTION_OR_TIME_CELL_REQUIRES_CAUTION,ADAUSDT,FIXED_8,age_bars_9+,single-symbol descriptive contrast cannot establish transfer
DIRECTION_OR_TIME_CELL_REQUIRES_CAUTION,ADAUSDT,FIXED_8,displacement_atr_Q1,single-symbol descriptive contrast cannot establish transfer
DIRECTION_OR_TIME_CELL_REQUIRES_CAUTION,ADAUSDT,FIXED_8,displacement_atr_Q2,single-symbol descriptive contrast cannot establish transfer
DIRECTION_OR_TIME_CELL_REQUIRES_CAUTION,ADAUSDT,FIXED_8,displacement_atr_Q3,single-symbol descriptive contrast cannot establish transfer
DIRECTION_OR_TIME_CELL_REQUIRES_CAUTION,ADAUSDT,FIXED_8,displacement_atr_Q4,single-symbol descriptive contrast cannot establish transfer
DIRECTION_OR_TIME_CELL_REQUIRES_CAUTION,ADAUSDT,FIXED_8,efficiency_<0.25,single-symbol descriptive contrast cannot establish transfer
