symbol,representation,geometry,bin,support_count,support_concentration,distribution_distance,rank_order_agreement,up_support,down_support,third_1_support,third_2_support,third_3_support,paired_rank_contrast,fraction_above_control,distribution_overlap,equal_support_fixed_contrast
ADAUSDT,FIXED_8,age_bars,1-2,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,FIXED_8,age_bars,3-4,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,FIXED_8,age_bars,5-8,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,FIXED_8,age_bars,9+,425,0.3341176470588235,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,192,233,142,142,141,0.9952941176470588,0.9976470588235294,0.4020616535215081,0.9952941176470588
ADAUSDT,FIXED_8,displacement_atr,Q1,106,0.4056603773584906,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,47,59,31,43,32,1.0,1.0,0.3622319329634113,1.0
ADAUSDT,FIXED_8,displacement_atr,Q2,106,0.39622641509433965,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,54,52,42,28,36,1.0,1.0,0.4330433693109483,1.0
ADAUSDT,FIXED_8,displacement_atr,Q3,106,0.39622641509433965,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,46,60,33,42,31,0.9811320754716981,0.9905660377358491,0.4245864402586773,1.0
ADAUSDT,FIXED_8,displacement_atr,Q4,107,0.3925233644859813,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,45,62,36,29,42,1.0,1.0,0.3885126919452239,0.9813084112149533
ADAUSDT,FIXED_8,efficiency,<0.25,356,0.3539325842696629,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,157,199,121,126,109,0.9943820224719101,0.9971910112359551,0.4058296695863143,0.9943820224719101
ADAUSDT,FIXED_8,efficiency,0.25-0.50,67,0.4626865671641791,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,33,34,20,16,31,1.0,1.0,0.38256210340562236,1.0
ADAUSDT,FIXED_8,efficiency,0.50-0.75,2,0.5,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,2,0,1,0,1,1.0,1.0,0.38458972286819654,1.0
ADAUSDT,FIXED_8,efficiency,>=0.75,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,FIXED_8,distance_to_boundary_atr,Q1,106,0.33962264150943394,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,45,61,36,34,36,1.0,1.0,0.3918642013229107,1.0
ADAUSDT,FIXED_8,distance_to_boundary_atr,Q2,106,0.36792452830188677,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,54,52,39,39,28,1.0,1.0,0.4120967739410843,1.0
ADAUSDT,FIXED_8,distance_to_boundary_atr,Q3,106,0.33962264150943394,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,38,68,36,35,35,0.9811320754716981,0.9905660377358491,0.3987877623504795,1.0
