symbol,factor,actual_detector_run,representation,detector_support,overlap_factor_1_0,valid_support,validity_rate,unique_ages,age_entropy,origin_agreement_with_fixed,distribution_rank_agreement,invalidity_count,cap_hit_rate,direction_time_stability
ADAUSDT,0.8,1,FIXED_8,545,0.7798165137614679,545,1.0,1,-0.0,0.0,UNAVAILABLE_SINGLE_SYMBOL,0,0.0,ADA_ONLY
ADAUSDT,0.8,1,DIRECTION_RUN,545,0.7798165137614679,545,1.0,9,2.2492295814158325,6.0,UNAVAILABLE_SINGLE_SYMBOL,0,0.0,ADA_ONLY
ADAUSDT,0.8,1,ATR_ORIGIN,545,0.7798165137614679,505,0.926605504587156,25,3.7931782008148702,3.0,UNAVAILABLE_SINGLE_SYMBOL,40,0.001834862385321101,ADA_ONLY
ADAUSDT,0.8,1,CONFIRMED_DIRECTION_CHANGE,545,0.7798165137614679,543,0.9963302752293578,21,3.3509757541206167,3.0,UNAVAILABLE_SINGLE_SYMBOL,2,0.0,ADA_ONLY
ADAUSDT,0.8,1,HYBRID_ORIGIN,545,0.7798165137614679,505,0.926605504587156,6,2.064759272795756,6.0,UNAVAILABLE_SINGLE_SYMBOL,40,0.001834862385321101,ADA_ONLY
ADAUSDT,1.0,1,FIXED_8,425,1.0,425,1.0,1,-0.0,0.0,UNAVAILABLE_SINGLE_SYMBOL,0,0.0,ADA_ONLY
ADAUSDT,1.0,1,DIRECTION_RUN,425,1.0,425,1.0,8,2.240120819530668,6.0,UNAVAILABLE_SINGLE_SYMBOL,0,0.0,ADA_ONLY
ADAUSDT,1.0,1,ATR_ORIGIN,425,1.0,391,0.92,23,3.7790637761407515,3.0,UNAVAILABLE_SINGLE_SYMBOL,34,0.002352941176470588,ADA_ONLY
ADAUSDT,1.0,1,CONFIRMED_DIRECTION_CHANGE,425,1.0,423,0.9952941176470588,18,3.3169623092603575,3.0,UNAVAILABLE_SINGLE_SYMBOL,2,0.0,ADA_ONLY
ADAUSDT,1.0,1,HYBRID_ORIGIN,425,1.0,391,0.92,6,2.068866559134672,6.0,UNAVAILABLE_SINGLE_SYMBOL,34,0.002352941176470588,ADA_ONLY
ADAUSDT,1.2,1,FIXED_8,318,0.7482352941176471,318,1.0,1,-0.0,0.0,UNAVAILABLE_SINGLE_SYMBOL,0,0.0,ADA_ONLY
ADAUSDT,1.2,1,DIRECTION_RUN,318,0.7482352941176471,318,1.0,8,2.239421051787585,6.0,UNAVAILABLE_SINGLE_SYMBOL,0,0.0,ADA_ONLY
ADAUSDT,1.2,1,ATR_ORIGIN,318,0.7482352941176471,293,0.9213836477987422,23,3.7684833058594567,3.0,UNAVAILABLE_SINGLE_SYMBOL,25,0.0031446540880503146,ADA_ONLY
ADAUSDT,1.2,1,CONFIRMED_DIRECTION_CHANGE,318,0.7482352941176471,317,0.9968553459119497,18,3.324250437221244,3.0,UNAVAILABLE_SINGLE_SYMBOL,1,0.0,ADA_ONLY
ADAUSDT,1.2,1,HYBRID_ORIGIN,318,0.7482352941176471,293,0.9213836477987422,6,2.0295355422708568,6.0,UNAVAILABLE_SINGLE_SYMBOL,25,0.0031446540880503146,ADA_ONLY
