instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,source_end_time,representation,origin_time,age_bars,duration_hours,validity,invalid_reason,minimum_history_flag,cap_hit_flag,zero_denominator_flag,origin_reason,causal_end_assertion,displacement_atr,extension_atr,efficiency,close_location,distance_to_boundary_atr,distance_from_extreme_atr,recent_slope_atr,whole_slope_atr,origin_disagreement_bars,origin_disagreement_hours,symbol,factor,chronological_third
ADAUSDT,1H_FALLBACK,UP,2023-07-01 00:00:00,2023-07-02 08:00:00,2023-07-02 20:00:00,2023-07-03 00:00:00,2023-07-02 04:00:00,0.2812,1,1,1,1,0,1,0.721078,-0.23371,0.282051,0.678721,0.333333,8,4,0.88189,0.5,0.8,0,,ADA_0012,2023-07-03 00:00:00,FIXED_8,2023-07-01 00:00:00,8,28,VALID,,0,0,0,FIXED_8,1,0.7115902964959618,1.7035040431266875,0.08894878706199523,0.6377952755905514,1.7466307277628013,0.9919137466307256,0.08625336927223563,0.10165575664228027,0,0,ADAUSDT,0.8,1
ADAUSDT,1H_FALLBACK,UP,2023-07-01 00:00:00,2023-07-02 08:00:00,2023-07-02 20:00:00,2023-07-03 00:00:00,2023-07-02 04:00:00,0.2812,1,1,1,1,0,1,0.721078,-0.23371,0.282051,0.678721,0.333333,8,4,0.88189,0.5,0.8,0,,ADA_0012,2023-07-03 00:00:00,DIRECTION_RUN,2023-07-02 00:00:00,2,4,VALID,,0,0,0,OPPOSITE_CLOSE_STEP,1,0.08625336927223962,1.0781671159029653,0.04494382022472029,0.2333333333333352,0.3018867924528327,0.9919137466307256,0.08625336927223962,0.08625336927223962,-6,-24,ADAUSDT,0.8,1
ADAUSDT,1H_FALLBACK,UP,2023-07-01 00:00:00,2023-07-02 08:00:00,2023-07-02 20:00:00,2023-07-03 00:00:00,2023-07-02 04:00:00,0.2812,1,1,1,1,0,1,0.721078,-0.23371,0.282051,0.678721,0.333333,8,4,0.88189,0.5,0.8,0,,ADA_0012,2023-07-03 00:00:00,ATR_ORIGIN,,,,INVALID,ATR_1_NOT_REACHED,0,0,0,ATR_1_NOT_REACHED,1,,,,,,,,,,,ADAUSDT,0.8,1
ADAUSDT,1H_FALLBACK,UP,2023-07-01 00:00:00,2023-07-02 08:00:00,2023-07-02 20:00:00,2023-07-03 00:00:00,2023-07-02 04:00:00,0.2812,1,1,1,1,0,1,0.721078,-0.23371,0.282051,0.678721,0.333333,8,4,0.88189,0.5,0.8,0,,ADA_0012,2023-07-03 00:00:00,CONFIRMED_DIRECTION_CHANGE,2023-07-01 04:00:00,7,24,VALID,,0,0,0,TWO_BAR_CHANGE_CONFIRMED,1,0.6253369272237222,1.6172506738544479,0.09062500000000034,0.6377952755905514,1.7466307277628013,0.9919137466307256,0.08625336927223563,0.10422282120395371,-1,-4,ADAUSDT,0.8,1
ADAUSDT,1H_FALLBACK,UP,2023-07-01 00:00:00,2023-07-02 08:00:00,2023-07-02 20:00:00,2023-07-03 00:00:00,2023-07-02 04:00:00,0.2812,1,1,1,1,0,1,0.721078,-0.23371,0.282051,0.678721,0.333333,8,4,0.88189,0.5,0.8,0,,ADA_0012,2023-07-03 00:00:00,HYBRID_ORIGIN,,,,INVALID,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED,0,0,0,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED,1,,,,,,,,,,,ADAUSDT,0.8,1
ADAUSDT,1H_FALLBACK,UP,2023-07-01 16:00:00,2023-07-03 00:00:00,2023-07-03 12:00:00,2023-07-03 16:00:00,2023-07-02 20:00:00,0.2853,1,1,1,1,0,1,0.594059,-0.06161,0.142857,0.815203,0.333333,8,4,1.05814,0.5,0.8,0,,ADA_0016,2023-07-03 16:00:00,FIXED_8,2023-07-01 16:00:00,8,28,VALID,,0,0,0,FIXED_8,1,0.7394366197183095,1.225352112676049,0.09668508287292808,0.7325581395348872,1.330985915492962,0.4859154929577392,0.07746478873239747,0.10563380281690136,0,0,ADAUSDT,0.8,1
ADAUSDT,1H_FALLBACK,UP,2023-07-01 16:00:00,2023-07-03 00:00:00,2023-07-03 12:00:00,2023-07-03 16:00:00,2023-07-02 20:00:00,0.2853,1,1,1,1,0,1,0.594059,-0.06161,0.142857,0.815203,0.333333,8,4,1.05814,0.5,0.8,0,,ADA_0016,2023-07-03 16:00:00,DIRECTION_RUN,2023-07-02 12:00:00,3,8,VALID,,0,0,0,OPPOSITE_CLOSE_STEP,1,0.5281690140845068,0.9084507042253447,0.1572327044025156,0.7777777777777816,1.330985915492962,0.3802816901408379,0.2640845070422534,0.2640845070422534,-5,-20,ADAUSDT,0.8,1
ADAUSDT,1H_FALLBACK,UP,2023-07-01 16:00:00,2023-07-03 00:00:00,2023-07-03 12:00:00,2023-07-03 16:00:00,2023-07-02 20:00:00,0.2853,1,1,1,1,0,1,0.594059,-0.06161,0.142857,0.815203,0.333333,8,4,1.05814,0.5,0.8,0,,ADA_0016,2023-07-03 16:00:00,ATR_ORIGIN,2023-07-01 04:00:00,11,40,VALID,,0,0,0,ATR_1_REACHED,1,1.0985915492957812,1.5845070422535206,0.10058027079303733,0.8188976377952779,2.197183098591551,0.4859154929577392,0.07746478873239747,0.10985915492957812,3,12,ADAUSDT,0.8,1
ADAUSDT,1H_FALLBACK,UP,2023-07-01 16:00:00,2023-07-03 00:00:00,2023-07-03 12:00:00,2023-07-03 16:00:00,2023-07-02 20:00:00,0.2853,1,1,1,1,0,1,0.594059,-0.06161,0.142857,0.815203,0.333333,8,4,1.05814,0.5,0.8,0,,ADA_0016,2023-07-03 16:00:00,CONFIRMED_DIRECTION_CHANGE,2023-07-02 04:00:00,5,16,VALID,,0,0,0,TWO_BAR_CHANGE_CONFIRMED,1,0.485915492957751,0.8661971830985888,0.10176991150442556,0.7777777777777816,1.330985915492962,0.3802816901408379,0.07746478873239747,0.12147887323943775,-3,-12,ADAUSDT,0.8,1
ADAUSDT,1H_FALLBACK,UP,2023-07-01 16:00:00,2023-07-03 00:00:00,2023-07-03 12:00:00,2023-07-03 16:00:00,2023-07-02 20:00:00,0.2853,1,1,1,1,0,1,0.594059,-0.06161,0.142857,0.815203,0.333333,8,4,1.05814,0.5,0.8,0,,ADA_0016,2023-07-03 16:00:00,HYBRID_ORIGIN,2023-07-02 12:00:00,3,8,VALID,,0,0,0,LATER_OF_DIRECTION_RUN_AND_ATR_ORIGIN,1,0.5281690140845068,0.9084507042253447,0.1572327044025156,0.7777777777777816,1.330985915492962,0.3802816901408379,0.2640845070422534,0.2640845070422534,-5,-20,ADAUSDT,0.8,1
