symbol,availability_status,interval,parent_bars,factor,representation,source_support,valid_support,invalid_support,invalid_reasons,age_q25,age_q50,age_q75,unique_ages,age_entropy,cap_hit_rate,origin_disagreement_from_fixed,redundancy_age_displacement,redundancy_age_boundary,direction_time_stability
ADAUSDT,AVAILABLE,4H parent / 1H fallback,3300,1.0,FIXED_8,425,425,0,NONE,8.0,8.0,8.0,1,-0.0,0.0,0.0,,,ADA_ONLY; exhaustive thirds reported in representation_transfer
ADAUSDT,AVAILABLE,4H parent / 1H fallback,3300,1.0,DIRECTION_RUN,425,425,0,NONE,1.0,2.0,3.0,8,2.240120819530668,0.0,6.0,0.9071923242434194,0.8481972560453845,ADA_ONLY; exhaustive thirds reported in representation_transfer
ADAUSDT,AVAILABLE,4H parent / 1H fallback,3300,1.0,ATR_ORIGIN,425,391,34,ATR_1_NOT_REACHED,4.0,6.0,9.0,23,3.7790637761407515,0.002352941176470588,3.0,-0.12336274436471988,-0.025262340723151852,ADA_ONLY; exhaustive thirds reported in representation_transfer
ADAUSDT,AVAILABLE,4H parent / 1H fallback,3300,1.0,CONFIRMED_DIRECTION_CHANGE,425,423,2,NO_CONFIRMED_CHANGE_32,4.0,6.0,8.0,18,3.3169623092603575,0.0,3.0,0.21668411601248563,0.30804093288697904,ADA_ONLY; exhaustive thirds reported in representation_transfer
ADAUSDT,AVAILABLE,4H parent / 1H fallback,3300,1.0,HYBRID_ORIGIN,425,391,34,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED,1.0,2.0,3.0,6,2.068866559134672,0.002352941176470588,6.0,0.8349294214721755,0.7875225381806692,ADA_ONLY; exhaustive thirds reported in representation_transfer
BTCUSDT,UNAVAILABLE,,0,1.0,FIXED_8,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
BTCUSDT,UNAVAILABLE,,0,1.0,DIRECTION_RUN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
BTCUSDT,UNAVAILABLE,,0,1.0,ATR_ORIGIN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
BTCUSDT,UNAVAILABLE,,0,1.0,CONFIRMED_DIRECTION_CHANGE,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
BTCUSDT,UNAVAILABLE,,0,1.0,HYBRID_ORIGIN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
ETHUSDT,UNAVAILABLE,,0,1.0,FIXED_8,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
ETHUSDT,UNAVAILABLE,,0,1.0,DIRECTION_RUN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
ETHUSDT,UNAVAILABLE,,0,1.0,ATR_ORIGIN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
ETHUSDT,UNAVAILABLE,,0,1.0,CONFIRMED_DIRECTION_CHANGE,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
ETHUSDT,UNAVAILABLE,,0,1.0,HYBRID_ORIGIN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
SOLUSDT,UNAVAILABLE,,0,1.0,FIXED_8,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
SOLUSDT,UNAVAILABLE,,0,1.0,DIRECTION_RUN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
SOLUSDT,UNAVAILABLE,,0,1.0,ATR_ORIGIN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
SOLUSDT,UNAVAILABLE,,0,1.0,CONFIRMED_DIRECTION_CHANGE,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
SOLUSDT,UNAVAILABLE,,0,1.0,HYBRID_ORIGIN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
XRPUSDT,UNAVAILABLE,,0,1.0,FIXED_8,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
XRPUSDT,UNAVAILABLE,,0,1.0,DIRECTION_RUN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
XRPUSDT,UNAVAILABLE,,0,1.0,ATR_ORIGIN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
XRPUSDT,UNAVAILABLE,,0,1.0,CONFIRMED_DIRECTION_CHANGE,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
XRPUSDT,UNAVAILABLE,,0,1.0,HYBRID_ORIGIN,0,0,0,NO_COMMITTED_LOCAL_DATA,,,,0,,,,,,UNAVAILABLE
