symbol,child_timeframe,parent_timeframe,detector_factor,representation,control_status,source_excluded,non_overlapping,paired_support,closed_reassertion_atr,paired_rank_contrast,equal_support_fixed_comparison
ADAUSDT,15m,1H,0.8,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,0.8,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,0.8,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,0.8,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,0.8,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,1.0,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,1.0,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,1.0,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,1.0,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,1.0,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,1.2,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,1.2,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,1.2,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,1.2,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,15m,1H,1.2,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,0.8,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,0.8,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,0.8,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,0.8,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,0.8,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,1.0,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,1.0,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,1.0,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,1.0,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,1.0,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,1.2,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,1.2,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,1.2,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,1.2,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,5m,15m,1.2,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,0.8,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,0.8,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,0.8,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,0.8,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,0.8,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,1.0,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,1.0,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,1.0,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,1.0,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,1.0,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,1.2,FIXED_8,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,1.2,DIRECTION_RUN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,1.2,ATR_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,1.2,CONFIRMED_DIRECTION_CHANGE,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
ADAUSDT,3m,15m,1.2,HYBRID_ORIGIN,NOT_RUN_DATA_UNAVAILABLE,1,1,0,,,NOT_EVALUABLE
