symbol,child_timeframe,parent_timeframe,family,bin,support_count,distribution_distance,rank_order_agreement,direction_stability,chronological_third_stability,support_concentration,committed_4h_1h_comparison
ADAUSDT,15m,1H,age_parent_bars,1-2,0,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE_NO_LOWER_SCALE_SAMPLE
ADAUSDT,15m,1H,age_parent_bars,3-4,0,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE_NO_LOWER_SCALE_SAMPLE
ADAUSDT,15m,1H,age_parent_bars,5-8,0,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE_NO_LOWER_SCALE_SAMPLE
ADAUSDT,15m,1H,age_parent_bars,9+,0,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE_NO_LOWER_SCALE_SAMPLE
ADAUSDT,15m,1H,efficiency,<0.25,0,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE_NO_LOWER_SCALE_SAMPLE
ADAUSDT,15m,1H,efficiency,"[0.25,0.50)",0,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE_NO_LOWER_SCALE_SAMPLE
ADAUSDT,15m,1H,efficiency,"[0.50,0.75)",0,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE_NO_LOWER_SCALE_SAMPLE
ADAUSDT,15m,1H,efficiency,>=0.75,0,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE_NO_LOWER_SCALE_SAMPLE
ADAUSDT,15m,1H,displacement_atr,Q1,0,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE_NO_LOWER_SCALE_SAMPLE
ADAUSDT,15m,1H,displacement_atr,Q2,0,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE_DATA_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE_NO_LOWER_SCALE_SAMPLE
