counterexample_type,detection_id,mapping,representation,reason
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_12,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_26,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_49,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_55,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_91,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_111,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
INVALIDITY_OR_CAP_SUPPORT_SELECTION,15m_1H_0.8_123,15m->1H,ATR_ORIGIN,ATR_1_NOT_REACHED
INVALIDITY_OR_CAP_SUPPORT_SELECTION,15m_1H_0.8_123,15m->1H,HYBRID_ORIGIN,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_125,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_202,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_222,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_240,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
INVALIDITY_OR_CAP_SUPPORT_SELECTION,15m_1H_0.8_272,15m->1H,ATR_ORIGIN,ATR_1_NOT_REACHED
INVALIDITY_OR_CAP_SUPPORT_SELECTION,15m_1H_0.8_272,15m->1H,HYBRID_ORIGIN,HYBRID_INVALID:OPPOSITE_CLOSE_STEP;ATR_1_NOT_REACHED
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_303,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_310,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_348,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_387,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_435,15m->1H,DIRECTION_RUN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_456,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_456,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_497,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_505,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_527,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_535,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_551,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_560,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_625,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_632,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_632,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_673,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_700,15m->1H,DIRECTION_RUN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_701,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_729,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_745,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_774,15m->1H,DIRECTION_RUN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_790,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_872,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_912,15m->1H,CONFIRMED_DIRECTION_CHANGE,causal variable origin equals fixed eight bars
VARIABLE_ORIGIN_COLLAPSE_TO_FIXED_8,15m_1H_0.8_971,15m->1H,ATR_ORIGIN,causal variable origin equals fixed eight bars
REPEATED_OVERLAPPING_HIGH_FREQUENCY_DETECTIONS,15m_1H_0.8_12,15m->1H,DETECTOR,parent detection windows overlap
REPEATED_OVERLAPPING_HIGH_FREQUENCY_DETECTIONS,15m_1H_0.8_49,15m->1H,DETECTOR,parent detection windows overlap
REPEATED_OVERLAPPING_HIGH_FREQUENCY_DETECTIONS,15m_1H_0.8_65,15m->1H,DETECTOR,parent detection windows overlap
REPEATED_OVERLAPPING_HIGH_FREQUENCY_DETECTIONS,15m_1H_0.8_91,15m->1H,DETECTOR,parent detection windows overlap
