mapping,factor,representation,family,bin,support,up_support,down_support,third_1,third_2,third_3,concentration_flag
15m->1H,1.2,FIXED_8,age_parent_bars,1-2,0,0,0,0,0,0,NO
15m->1H,1.2,FIXED_8,age_parent_bars,3-4,0,0,0,0,0,0,NO
15m->1H,1.2,FIXED_8,age_parent_bars,5-8,0,0,0,0,0,0,NO
15m->1H,1.2,FIXED_8,age_parent_bars,9+,0,0,0,0,0,0,NO
15m->1H,1.2,FIXED_8,efficiency,<0.25,1009,481,528,346,343,320,NO
15m->1H,1.2,FIXED_8,efficiency,"[0.25,0.50)",711,396,315,229,229,253,NO
15m->1H,1.2,FIXED_8,efficiency,"[0.50,0.75)",21,18,3,6,8,7,NO
15m->1H,1.2,FIXED_8,efficiency,>=0.75,0,0,0,0,0,0,NO
15m->1H,1.2,FIXED_8,displacement_atr,Q1,435,212,223,143,157,135,NO
15m->1H,1.2,FIXED_8,displacement_atr,Q2,435,219,216,158,146,131,NO
15m->1H,1.2,FIXED_8,displacement_atr,Q3,434,203,231,138,140,156,NO
15m->1H,1.2,FIXED_8,displacement_atr,Q4,437,261,176,142,137,158,NO
15m->1H,1.2,FIXED_8,boundary_distance_atr,Q1,435,217,218,141,155,139,NO
15m->1H,1.2,FIXED_8,boundary_distance_atr,Q2,433,199,234,159,147,127,NO
15m->1H,1.2,FIXED_8,boundary_distance_atr,Q3,437,212,225,146,133,158,NO
15m->1H,1.2,FIXED_8,boundary_distance_atr,Q4,436,267,169,135,145,156,NO
15m->1H,1.2,DIRECTION_RUN,age_parent_bars,1-2,0,0,0,0,0,0,NO
15m->1H,1.2,DIRECTION_RUN,age_parent_bars,3-4,466,226,240,157,164,145,NO
15m->1H,1.2,DIRECTION_RUN,age_parent_bars,5-8,266,142,124,86,90,90,NO
15m->1H,1.2,DIRECTION_RUN,age_parent_bars,9+,20,11,9,4,7,9,NO
15m->1H,1.2,DIRECTION_RUN,efficiency,<0.25,56,27,29,18,23,15,NO
15m->1H,1.2,DIRECTION_RUN,efficiency,"[0.25,0.50)",1258,627,631,444,415,399,NO
15m->1H,1.2,DIRECTION_RUN,efficiency,"[0.50,0.75)",425,239,186,117,142,166,NO
15m->1H,1.2,DIRECTION_RUN,efficiency,>=0.75,2,2,0,2,0,0,YES
15m->1H,1.2,DIRECTION_RUN,displacement_atr,Q1,435,233,202,146,154,135,NO
15m->1H,1.2,DIRECTION_RUN,displacement_atr,Q2,435,219,216,146,147,142,NO
15m->1H,1.2,DIRECTION_RUN,displacement_atr,Q3,435,209,226,155,137,143,NO
15m->1H,1.2,DIRECTION_RUN,displacement_atr,Q4,436,234,202,134,142,160,NO
15m->1H,1.2,DIRECTION_RUN,boundary_distance_atr,Q1,435,209,226,146,148,141,NO
15m->1H,1.2,DIRECTION_RUN,boundary_distance_atr,Q2,435,227,208,142,163,130,NO
15m->1H,1.2,DIRECTION_RUN,boundary_distance_atr,Q3,435,222,213,162,130,143,NO
15m->1H,1.2,DIRECTION_RUN,boundary_distance_atr,Q4,436,237,199,131,139,166,NO
15m->1H,1.2,ATR_ORIGIN,age_parent_bars,1-2,0,0,0,0,0,0,NO
15m->1H,1.2,ATR_ORIGIN,age_parent_bars,3-4,425,209,216,134,142,149,NO
15m->1H,1.2,ATR_ORIGIN,age_parent_bars,5-8,290,138,152,103,98,89,NO
15m->1H,1.2,ATR_ORIGIN,age_parent_bars,9+,105,59,46,35,40,30,NO
15m->1H,1.2,ATR_ORIGIN,efficiency,<0.25,350,166,184,125,122,103,NO
15m->1H,1.2,ATR_ORIGIN,efficiency,"[0.25,0.50)",999,514,485,335,338,326,NO
15m->1H,1.2,ATR_ORIGIN,efficiency,"[0.50,0.75)",378,205,173,118,118,142,NO
15m->1H,1.2,ATR_ORIGIN,efficiency,>=0.75,9,8,1,2,1,6,YES
15m->1H,1.2,ATR_ORIGIN,displacement_atr,Q1,433,210,223,142,151,140,NO
15m->1H,1.2,ATR_ORIGIN,displacement_atr,Q2,434,210,224,136,156,142,NO
15m->1H,1.2,ATR_ORIGIN,displacement_atr,Q3,434,235,199,152,143,139,NO
15m->1H,1.2,ATR_ORIGIN,displacement_atr,Q4,435,238,197,150,129,156,NO
15m->1H,1.2,ATR_ORIGIN,boundary_distance_atr,Q1,433,207,226,140,158,135,NO
15m->1H,1.2,ATR_ORIGIN,boundary_distance_atr,Q2,434,216,218,148,143,143,NO
15m->1H,1.2,ATR_ORIGIN,boundary_distance_atr,Q3,434,225,209,145,141,148,NO
15m->1H,1.2,ATR_ORIGIN,boundary_distance_atr,Q4,435,245,190,147,137,151,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,age_parent_bars,1-2,0,0,0,0,0,0,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,age_parent_bars,3-4,278,137,141,88,89,101,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,age_parent_bars,5-8,701,354,347,231,229,241,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,age_parent_bars,9+,327,163,164,114,114,99,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,efficiency,<0.25,695,336,359,241,232,222,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,efficiency,"[0.25,0.50)",869,448,421,277,295,297,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,efficiency,"[0.50,0.75)",172,108,64,62,50,60,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,efficiency,>=0.75,1,1,0,0,0,1,YES
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,displacement_atr,Q1,434,228,206,135,154,145,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,displacement_atr,Q2,434,206,228,155,152,127,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,displacement_atr,Q3,434,205,229,145,139,150,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,displacement_atr,Q4,435,254,181,145,132,158,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,boundary_distance_atr,Q1,434,207,227,148,147,139,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,boundary_distance_atr,Q2,434,217,217,141,149,144,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,boundary_distance_atr,Q3,434,211,223,153,128,153,NO
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,boundary_distance_atr,Q4,435,258,177,138,153,144,NO
15m->1H,1.2,HYBRID_ORIGIN,age_parent_bars,1-2,0,0,0,0,0,0,NO
15m->1H,1.2,HYBRID_ORIGIN,age_parent_bars,3-4,508,252,256,167,174,167,NO
15m->1H,1.2,HYBRID_ORIGIN,age_parent_bars,5-8,14,3,11,5,5,4,NO
15m->1H,1.2,HYBRID_ORIGIN,age_parent_bars,9+,0,0,0,0,0,0,NO
15m->1H,1.2,HYBRID_ORIGIN,efficiency,<0.25,63,29,34,20,24,19,NO
15m->1H,1.2,HYBRID_ORIGIN,efficiency,"[0.25,0.50)",1236,622,614,426,418,392,NO
15m->1H,1.2,HYBRID_ORIGIN,efficiency,"[0.50,0.75)",428,234,194,132,136,160,NO
15m->1H,1.2,HYBRID_ORIGIN,efficiency,>=0.75,9,8,1,2,1,6,YES
15m->1H,1.2,HYBRID_ORIGIN,displacement_atr,Q1,433,233,200,146,154,133,NO
15m->1H,1.2,HYBRID_ORIGIN,displacement_atr,Q2,434,211,223,146,144,144,NO
15m->1H,1.2,HYBRID_ORIGIN,displacement_atr,Q3,434,211,223,139,150,145,NO
15m->1H,1.2,HYBRID_ORIGIN,displacement_atr,Q4,435,238,197,149,131,155,NO
15m->1H,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q1,433,210,223,146,148,139,NO
15m->1H,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q2,434,227,207,148,160,126,NO
15m->1H,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q3,434,225,209,150,139,145,NO
15m->1H,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q4,435,231,204,136,132,167,NO
5m->15m,1.2,FIXED_8,age_parent_bars,1-2,0,0,0,0,0,0,NO
5m->15m,1.2,FIXED_8,age_parent_bars,3-4,0,0,0,0,0,0,NO
5m->15m,1.2,FIXED_8,age_parent_bars,5-8,0,0,0,0,0,0,NO
5m->15m,1.2,FIXED_8,age_parent_bars,9+,0,0,0,0,0,0,NO
5m->15m,1.2,FIXED_8,efficiency,<0.25,4224,2119,2105,1405,1419,1400,NO
5m->15m,1.2,FIXED_8,efficiency,"[0.25,0.50)",3168,1569,1599,1057,1039,1072,NO
5m->15m,1.2,FIXED_8,efficiency,"[0.50,0.75)",118,79,39,41,46,31,NO
5m->15m,1.2,FIXED_8,efficiency,>=0.75,1,0,1,1,0,0,YES
5m->15m,1.2,FIXED_8,displacement_atr,Q1,1877,983,894,648,597,632,NO
5m->15m,1.2,FIXED_8,displacement_atr,Q2,1878,913,965,615,647,616,NO
5m->15m,1.2,FIXED_8,displacement_atr,Q3,1876,914,962,602,640,634,NO
5m->15m,1.2,FIXED_8,displacement_atr,Q4,1880,957,923,639,620,621,NO
5m->15m,1.2,FIXED_8,boundary_distance_atr,Q1,1877,954,923,624,612,641,NO
5m->15m,1.2,FIXED_8,boundary_distance_atr,Q2,1878,900,978,624,657,597,NO
5m->15m,1.2,FIXED_8,boundary_distance_atr,Q3,1877,905,972,635,617,625,NO
5m->15m,1.2,FIXED_8,boundary_distance_atr,Q4,1879,1008,871,621,618,640,NO
5m->15m,1.2,DIRECTION_RUN,age_parent_bars,1-2,0,0,0,0,0,0,NO
5m->15m,1.2,DIRECTION_RUN,age_parent_bars,3-4,1994,999,995,660,656,678,NO
5m->15m,1.2,DIRECTION_RUN,age_parent_bars,5-8,1168,572,596,393,398,377,NO
5m->15m,1.2,DIRECTION_RUN,age_parent_bars,9+,101,48,53,44,38,19,NO
5m->15m,1.2,DIRECTION_RUN,efficiency,<0.25,202,107,95,79,65,58,NO
5m->15m,1.2,DIRECTION_RUN,efficiency,"[0.25,0.50)",5120,2474,2646,1689,1757,1674,NO
5m->15m,1.2,DIRECTION_RUN,efficiency,"[0.50,0.75)",2165,1165,1000,728,669,768,NO
5m->15m,1.2,DIRECTION_RUN,efficiency,>=0.75,24,21,3,8,13,3,NO
5m->15m,1.2,DIRECTION_RUN,displacement_atr,Q1,1875,950,925,588,650,637,NO
5m->15m,1.2,DIRECTION_RUN,displacement_atr,Q2,1880,946,934,651,622,607,NO
5m->15m,1.2,DIRECTION_RUN,displacement_atr,Q3,1877,913,964,625,604,648,NO
5m->15m,1.2,DIRECTION_RUN,displacement_atr,Q4,1879,958,921,640,628,611,NO
5m->15m,1.2,DIRECTION_RUN,boundary_distance_atr,Q1,1876,927,949,617,634,625,NO
5m->15m,1.2,DIRECTION_RUN,boundary_distance_atr,Q2,1879,933,946,592,640,647,NO
5m->15m,1.2,DIRECTION_RUN,boundary_distance_atr,Q3,1877,927,950,668,598,611,NO
5m->15m,1.2,DIRECTION_RUN,boundary_distance_atr,Q4,1879,980,899,627,632,620,NO
5m->15m,1.2,ATR_ORIGIN,age_parent_bars,1-2,0,0,0,0,0,0,NO
5m->15m,1.2,ATR_ORIGIN,age_parent_bars,3-4,2047,1024,1023,692,681,674,NO
5m->15m,1.2,ATR_ORIGIN,age_parent_bars,5-8,1210,630,580,389,429,392,NO
5m->15m,1.2,ATR_ORIGIN,age_parent_bars,9+,394,204,190,132,123,139,NO
5m->15m,1.2,ATR_ORIGIN,efficiency,<0.25,1470,747,723,472,498,500,NO
5m->15m,1.2,ATR_ORIGIN,efficiency,"[0.25,0.50)",4066,1959,2107,1363,1364,1339,NO
5m->15m,1.2,ATR_ORIGIN,efficiency,"[0.50,0.75)",1925,1031,894,652,621,652,NO
5m->15m,1.2,ATR_ORIGIN,efficiency,>=0.75,34,24,10,12,12,10,NO
5m->15m,1.2,ATR_ORIGIN,displacement_atr,Q1,1864,955,909,636,611,617,NO
5m->15m,1.2,ATR_ORIGIN,displacement_atr,Q2,1883,954,929,648,620,615,NO
