mapping,representation,strict_connected_factor_1_0_pass,factor_0_8_1_2_support_entropy_invalidity_pass,factor_stable,direction_or_time_reversal,reason
15m->1H,FIXED_8,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
15m->1H,DIRECTION_RUN,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
15m->1H,ATR_ORIGIN,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
15m->1H,CONFIRMED_DIRECTION_CHANGE,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
15m->1H,HYBRID_ORIGIN,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
3m->15m,FIXED_8,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
3m->15m,DIRECTION_RUN,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
3m->15m,ATR_ORIGIN,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
3m->15m,CONFIRMED_DIRECTION_CHANGE,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
3m->15m,HYBRID_ORIGIN,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
5m->15m,FIXED_8,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
5m->15m,DIRECTION_RUN,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
5m->15m,ATR_ORIGIN,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
5m->15m,CONFIRMED_DIRECTION_CHANGE,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
5m->15m,HYBRID_ORIGIN,0,0,0,NONE,"causal representative support, entropy, invalidity, direction, chronological-third and rank-sign checks"
