episode_view,mapping,factor,representation,raw_count,episode_representative_count,raw_valid_count,episode_valid_count,raw_age_q50,episode_age_q50,raw_efficiency_q50,episode_efficiency_q50,matched_control_count,matched_control_rate,controls_causal_source_excluded_nonoverlapping,identical_fields_and_bins
STRICT_NONOVERLAP,15m->1H,0.8,FIXED_8,2964,2964,2964,2964,8,8,0.20886076,0.20886076,0,0.00000000,1,1
STRICT_NONOVERLAP,15m->1H,0.8,DIRECTION_RUN,2964,2964,2964,2964,3,3,0.38888889,0.38888889,0,0.00000000,1,1
STRICT_NONOVERLAP,15m->1H,0.8,ATR_ORIGIN,2964,2964,2939,2939,4,4,0.34482759,0.34482759,0,0.00000000,1,1
STRICT_NONOVERLAP,15m->1H,0.8,CONFIRMED_DIRECTION_CHANGE,2964,2964,2959,2959,6,6,0.26612903,0.26612903,0,0.00000000,1,1
STRICT_NONOVERLAP,15m->1H,0.8,HYBRID_ORIGIN,2964,2964,2939,2939,2,2,0.38144330,0.38144330,0,0.00000000,1,1
STRICT_NONOVERLAP,15m->1H,1.0,FIXED_8,2294,2294,2294,2294,8,8,0.21942446,0.21942446,0,0.00000000,1,1
STRICT_NONOVERLAP,15m->1H,1.0,DIRECTION_RUN,2294,2294,2294,2294,3,3,0.41000000,0.41000000,0,0.00000000,1,1
STRICT_NONOVERLAP,15m->1H,1.0,ATR_ORIGIN,2294,2294,2284,2284,3,3,0.37007874,0.37007874,0,0.00000000,1,1
STRICT_NONOVERLAP,15m->1H,1.0,CONFIRMED_DIRECTION_CHANGE,2294,2294,2289,2289,6,6,0.28148148,0.28148148,0,0.00000000,1,1
STRICT_NONOVERLAP,15m->1H,1.0,HYBRID_ORIGIN,2294,2294,2284,2284,2,2,0.40211640,0.40211640,0,0.00000000,1,1
STRICT_NONOVERLAP,15m->1H,1.2,FIXED_8,1741,1741,1741,1741,8,8,0.22629310,0.22629310,1741,1.00000000,1,1
STRICT_NONOVERLAP,15m->1H,1.2,DIRECTION_RUN,1741,1741,1741,1741,3,3,0.42307692,0.42307692,1741,1.00000000,1,1
STRICT_NONOVERLAP,15m->1H,1.2,ATR_ORIGIN,1741,1741,1736,1736,3,3,0.38709677,0.38709677,1736,0.99712809,1,1
STRICT_NONOVERLAP,15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,1741,1741,1737,1737,6,6,0.28888889,0.28888889,1737,0.99770247,1,1
STRICT_NONOVERLAP,15m->1H,1.2,HYBRID_ORIGIN,1741,1741,1736,1736,2,2,0.41836735,0.41836735,1736,0.99712809,1,1
STRICT_NONOVERLAP,3m->15m,0.8,FIXED_8,12820,12820,12820,12820,8,8,0.21621622,0.21621622,0,0.00000000,1,1
STRICT_NONOVERLAP,3m->15m,0.8,DIRECTION_RUN,12820,12820,12820,12820,3,3,0.40163934,0.40163934,0,0.00000000,1,1
STRICT_NONOVERLAP,3m->15m,0.8,ATR_ORIGIN,12820,12820,12728,12728,3,3,0.36065574,0.36065574,0,0.00000000,1,1
STRICT_NONOVERLAP,3m->15m,0.8,CONFIRMED_DIRECTION_CHANGE,12820,12820,12810,12810,6,6,0.27659574,0.27659574,0,0.00000000,1,1
STRICT_NONOVERLAP,3m->15m,0.8,HYBRID_ORIGIN,12820,12820,12728,12728,2,2,0.39215686,0.39215686,0,0.00000000,1,1
STRICT_NONOVERLAP,3m->15m,1.0,FIXED_8,10111,10111,10111,10111,8,8,0.22448980,0.22448980,0,0.00000000,1,1
STRICT_NONOVERLAP,3m->15m,1.0,DIRECTION_RUN,10111,10111,10111,10111,3,3,0.41891892,0.41891892,0,0.00000000,1,1
STRICT_NONOVERLAP,3m->15m,1.0,ATR_ORIGIN,10111,10111,10067,10067,3,3,0.38095238,0.38095238,0,0.00000000,1,1
STRICT_NONOVERLAP,3m->15m,1.0,CONFIRMED_DIRECTION_CHANGE,10111,10111,10104,10104,6,6,0.28758170,0.28758170,0,0.00000000,1,1
STRICT_NONOVERLAP,3m->15m,1.0,HYBRID_ORIGIN,10111,10111,10067,10067,2,2,0.40909091,0.40909091,0,0.00000000,1,1
STRICT_NONOVERLAP,3m->15m,1.2,FIXED_8,7511,7511,7511,7511,8,8,0.23000000,0.23000000,7511,1.00000000,1,1
STRICT_NONOVERLAP,3m->15m,1.2,DIRECTION_RUN,7511,7511,7511,7511,3,3,0.43333333,0.43333333,7511,1.00000000,1,1
STRICT_NONOVERLAP,3m->15m,1.2,ATR_ORIGIN,7511,7511,7495,7495,3,3,0.40000000,0.40000000,7495,0.99786979,1,1
STRICT_NONOVERLAP,3m->15m,1.2,CONFIRMED_DIRECTION_CHANGE,7511,7511,7506,7506,6,6,0.29343629,0.29343629,7506,0.99933431,1,1
STRICT_NONOVERLAP,3m->15m,1.2,HYBRID_ORIGIN,7511,7511,7495,7495,2,2,0.42622951,0.42622951,7495,0.99786979,1,1
STRICT_NONOVERLAP,5m->15m,0.8,FIXED_8,12820,12820,12820,12820,8,8,0.21621622,0.21621622,0,0.00000000,1,1
STRICT_NONOVERLAP,5m->15m,0.8,DIRECTION_RUN,12820,12820,12820,12820,3,3,0.40163934,0.40163934,0,0.00000000,1,1
STRICT_NONOVERLAP,5m->15m,0.8,ATR_ORIGIN,12820,12820,12728,12728,3,3,0.36065574,0.36065574,0,0.00000000,1,1
STRICT_NONOVERLAP,5m->15m,0.8,CONFIRMED_DIRECTION_CHANGE,12820,12820,12810,12810,6,6,0.27659574,0.27659574,0,0.00000000,1,1
