episode_view,episode_id,event_id,event_family,side,episode_start,episode_end,representative_event_id,is_representative,member_count
8H,FUNDING|FUNDING_HIGH|8H|00001,F000090,FUNDING,FUNDING_HIGH,2023-07-31T00:00:00Z,2023-07-31T08:00:00Z,F000090,1,1
8H,FUNDING|FUNDING_HIGH|8H|00002,F000091,FUNDING,FUNDING_HIGH,2023-07-31T08:00:00Z,2023-07-31T16:00:00Z,F000091,1,1
8H,FUNDING|FUNDING_HIGH|8H|00003,F000092,FUNDING,FUNDING_HIGH,2023-07-31T16:00:00Z,2023-08-01T00:00:00Z,F000092,1,1
8H,FUNDING|FUNDING_HIGH|8H|00004,F000093,FUNDING,FUNDING_HIGH,2023-08-01T00:00:00Z,2023-08-01T08:00:00Z,F000093,1,1
8H,FUNDING|FUNDING_HIGH|8H|00005,F000094,FUNDING,FUNDING_HIGH,2023-08-01T08:00:00Z,2023-08-01T16:00:00Z,F000094,1,1
8H,FUNDING|FUNDING_HIGH|8H|00006,F000095,FUNDING,FUNDING_HIGH,2023-08-01T16:00:00Z,2023-08-02T00:00:00Z,F000095,1,1
8H,FUNDING|FUNDING_HIGH|8H|00007,F000096,FUNDING,FUNDING_HIGH,2023-08-02T00:00:00Z,2023-08-02T08:00:00Z,F000096,1,1
8H,FUNDING|FUNDING_HIGH|8H|00008,F000097,FUNDING,FUNDING_HIGH,2023-08-02T08:00:00Z,2023-08-02T16:00:00Z,F000097,1,1
8H,FUNDING|FUNDING_HIGH|8H|00009,F000098,FUNDING,FUNDING_HIGH,2023-08-02T16:00:00Z,2023-08-03T00:00:00Z,F000098,1,1
8H,FUNDING|FUNDING_HIGH|8H|00010,F000099,FUNDING,FUNDING_HIGH,2023-08-03T00:00:00Z,2023-08-03T08:00:00Z,F000099,1,1
8H,FUNDING|FUNDING_HIGH|8H|00011,F000100,FUNDING,FUNDING_HIGH,2023-08-03T08:00:00Z,2023-08-03T16:00:00Z,F000100,1,1
8H,FUNDING|FUNDING_HIGH|8H|00012,F000101,FUNDING,FUNDING_HIGH,2023-08-03T16:00:00Z,2023-08-04T00:00:00Z,F000101,1,1
8H,FUNDING|FUNDING_HIGH|8H|00013,F000102,FUNDING,FUNDING_HIGH,2023-08-04T00:00:00Z,2023-08-04T08:00:00Z,F000102,1,1
8H,FUNDING|FUNDING_HIGH|8H|00014,F000103,FUNDING,FUNDING_HIGH,2023-08-04T08:00:00Z,2023-08-04T16:00:00Z,F000103,1,1
8H,FUNDING|FUNDING_HIGH|8H|00015,F000104,FUNDING,FUNDING_HIGH,2023-08-04T16:00:00Z,2023-08-05T00:00:00Z,F000104,1,1
8H,FUNDING|FUNDING_HIGH|8H|00016,F000105,FUNDING,FUNDING_HIGH,2023-08-05T00:00:00Z,2023-08-05T08:00:00Z,F000105,1,1
8H,FUNDING|FUNDING_HIGH|8H|00017,F000106,FUNDING,FUNDING_HIGH,2023-08-05T08:00:00Z,2023-08-05T16:00:00Z,F000106,1,1
8H,FUNDING|FUNDING_HIGH|8H|00018,F000107,FUNDING,FUNDING_HIGH,2023-08-05T16:00:00Z,2023-08-06T00:00:00Z,F000107,1,1
8H,FUNDING|FUNDING_HIGH|8H|00019,F000108,FUNDING,FUNDING_HIGH,2023-08-06T00:00:00Z,2023-08-06T08:00:00Z,F000108,1,1
8H,FUNDING|FUNDING_HIGH|8H|00020,F000109,FUNDING,FUNDING_HIGH,2023-08-06T08:00:00Z,2023-08-06T16:00:00Z,F000109,1,1
8H,FUNDING|FUNDING_HIGH|8H|00021,F000110,FUNDING,FUNDING_HIGH,2023-08-06T16:00:00Z,2023-08-07T00:00:00Z,F000110,1,1
8H,FUNDING|FUNDING_HIGH|8H|00022,F000111,FUNDING,FUNDING_HIGH,2023-08-07T00:00:00Z,2023-08-07T08:00:00Z,F000111,1,1
8H,FUNDING|FUNDING_HIGH|8H|00023,F000112,FUNDING,FUNDING_HIGH,2023-08-07T08:00:00Z,2023-08-07T16:00:00Z,F000112,1,1
8H,FUNDING|FUNDING_HIGH|8H|00024,F000113,FUNDING,FUNDING_HIGH,2023-08-07T16:00:00Z,2023-08-08T00:00:00Z,F000113,1,1
8H,FUNDING|FUNDING_HIGH|8H|00025,F000114,FUNDING,FUNDING_HIGH,2023-08-08T00:00:00Z,2023-08-08T08:00:00Z,F000114,1,1
8H,FUNDING|FUNDING_HIGH|8H|00026,F000116,FUNDING,FUNDING_HIGH,2023-08-08T16:00:00Z,2023-08-09T00:00:00Z,F000116,1,1
