episode_id,event_id,control_timestamp,calendar_month,utc_hour,chronological_third,available_history_status,source_excluded,non_overlapping,control_status,tie_break
FUNDING|FUNDING_HIGH|8H|00001,F000090,2023-07-07T00:30:00Z,7,0,1,AVAILABLE,1,1,MATCHED,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00002,F000091,2023-07-04T08:15:00Z,7,8,1,AVAILABLE,1,1,MATCHED,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00003,F000092,2023-07-09T16:00:00Z,7,16,1,AVAILABLE,1,1,MATCHED,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00004,F000093,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00005,F000094,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00006,F000095,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00007,F000096,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00008,F000097,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00009,F000098,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00010,F000099,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00011,F000100,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00012,F000101,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00013,F000102,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00014,F000103,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00015,F000104,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00016,F000105,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00017,F000106,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00018,F000107,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00019,F000108,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00020,F000109,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00021,F000110,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00022,F000111,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00023,F000112,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00024,F000113,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00025,F000114,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00026,F000116,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00027,F000117,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00028,F000118,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00029,F000119,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00030,F000120,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00031,F000121,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00032,F000122,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00033,F000123,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00034,F000124,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00035,F000125,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00036,F000126,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00037,F000127,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00038,F000128,,8,16,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00039,F000129,,8,0,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
FUNDING|FUNDING_HIGH|8H|00040,F000130,,8,8,1,AVAILABLE,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
