symbol,source,endpoint,parameters,retrieval_utc,pagination,retries,sha256,schema,coverage_first,coverage_last,gaps,duplicates,ordered,numeric,utc_aligned,unavailable_prefix,unavailable_suffix
BTCUSDT,funding,https://api.bybit.com/v5/market/funding/history,"{""category"": ""linear"", ""endTime"": 1735686000000, ""limit"": 200, ""startTime"": 1688169600000, ""symbol"": ""BTCUSDT""}",2026-07-19T17:50:39Z,ascending fixed 200-row windows,up to 5 exponential linear retries,9a43757ed5a52ebdc8e90b6209f03aac6a92f7c06b3f2be49648297cd00b6574,timestamp_utc|funding_rate,2023-07-01T00:00:00Z,2024-12-31T16:00:00Z,0,0,1,1,1,0,1
BTCUSDT,oi,https://api.bybit.com/v5/market/open-interest,"{""category"": ""linear"", ""endTime"": 1735686000000, ""intervalTime"": ""15min"", ""limit"": 200, ""startTime"": 1688169600000, ""symbol"": ""BTCUSDT""}",2026-07-19T17:50:49Z,ascending fixed 200-row windows,up to 5 exponential linear retries,fd1bce2fe87a19e30218be12592b919d0ebd03c36298abcf4e48c6e5c126ee80,timestamp_utc|open_interest,2023-07-01T00:00:00Z,2024-12-31T23:15:00Z,0,0,1,1,1,0,0
BTCUSDT,15m,https://api.bybit.com/v5/market/kline,"{""category"": ""linear"", ""endTime"": 1735686000000, ""interval"": ""15"", ""limit"": 1000, ""startTime"": 1688169600000, ""symbol"": ""BTCUSDT""}",2026-07-19T17:50:51Z,ascending fixed 1000-row windows,up to 5 exponential linear retries,41332cdc5f8bcabde7f36b87eb15bdf6c466db755d4522982626d86e93e852ac,timestamp_utc|open|high|low|close|volume|turnover,2023-07-01T00:00:00Z,2024-12-31T23:15:00Z,0,0,1,1,1,0,0
ETHUSDT,funding,https://api.bybit.com/v5/market/funding/history,"{""category"": ""linear"", ""endTime"": 1735686000000, ""limit"": 200, ""startTime"": 1688169600000, ""symbol"": ""ETHUSDT""}",2026-07-19T17:51:09Z,ascending fixed 200-row windows,up to 5 exponential linear retries,6a3ad9f6be5ac684919f2ae942538f1502a6a43baff0f377152d5ecdbd4d0bda,timestamp_utc|funding_rate,2023-07-01T00:00:00Z,2024-12-31T16:00:00Z,0,0,1,1,1,0,1
ETHUSDT,oi,https://api.bybit.com/v5/market/open-interest,"{""category"": ""linear"", ""endTime"": 1735686000000, ""intervalTime"": ""15min"", ""limit"": 200, ""startTime"": 1688169600000, ""symbol"": ""ETHUSDT""}",2026-07-19T17:51:18Z,ascending fixed 200-row windows,up to 5 exponential linear retries,c9134536e4992eecac908dd09203bb9afa86b332d20e0b8658a889abf7168016,timestamp_utc|open_interest,2023-07-01T00:00:00Z,2024-12-31T23:15:00Z,1,0,1,1,1,0,0
ETHUSDT,15m,https://api.bybit.com/v5/market/kline,"{""category"": ""linear"", ""endTime"": 1735686000000, ""interval"": ""15"", ""limit"": 1000, ""startTime"": 1688169600000, ""symbol"": ""ETHUSDT""}",2026-07-19T17:51:22Z,ascending fixed 1000-row windows,up to 5 exponential linear retries,b8642d639d512d6339d63140a1a7dde0ff6244edc161abc3f29418b48441d538,timestamp_utc|open|high|low|close|volume|turnover,2023-07-01T00:00:00Z,2024-12-31T23:15:00Z,0,0,1,1,1,0,0
SOLUSDT,funding,https://api.bybit.com/v5/market/funding/history,"{""category"": ""linear"", ""endTime"": 1735686000000, ""limit"": 200, ""startTime"": 1688169600000, ""symbol"": ""SOLUSDT""}",2026-07-19T17:51:39Z,ascending fixed 200-row windows,up to 5 exponential linear retries,51b269cde5883ecc302daf75c91c9f0a6fd184e4eb643fd510b7889e0e800b75,timestamp_utc|funding_rate,2023-07-01T00:00:00Z,2024-12-31T16:00:00Z,0,0,1,1,1,0,1
SOLUSDT,oi,https://api.bybit.com/v5/market/open-interest,"{""category"": ""linear"", ""endTime"": 1735686000000, ""intervalTime"": ""15min"", ""limit"": 200, ""startTime"": 1688169600000, ""symbol"": ""SOLUSDT""}",2026-07-19T17:51:49Z,ascending fixed 200-row windows,up to 5 exponential linear retries,bd3f849fa3134aae6af7b20af362458507aff3adb6153e4a11652d2547c80619,timestamp_utc|open_interest,2023-07-01T00:00:00Z,2024-12-31T23:15:00Z,0,0,1,1,1,0,0
SOLUSDT,15m,https://api.bybit.com/v5/market/kline,"{""category"": ""linear"", ""endTime"": 1735686000000, ""interval"": ""15"", ""limit"": 1000, ""startTime"": 1688169600000, ""symbol"": ""SOLUSDT""}",2026-07-19T17:51:51Z,ascending fixed 1000-row windows,up to 5 exponential linear retries,8d24a585c49950ccfffa175776965a3c019f6986de93d30699910b6db24d04da,timestamp_utc|open|high|low|close|volume|turnover,2023-07-01T00:00:00Z,2024-12-31T23:15:00Z,0,0,1,1,1,0,0
XRPUSDT,funding,https://api.bybit.com/v5/market/funding/history,"{""category"": ""linear"", ""endTime"": 1735686000000, ""limit"": 200, ""startTime"": 1688169600000, ""symbol"": ""XRPUSDT""}",2026-07-19T17:52:07Z,ascending fixed 200-row windows,up to 5 exponential linear retries,099d0b5bc798ed34258422b8f084f570fab13543edf05e1193fffb9d8b980bdb,timestamp_utc|funding_rate,2023-07-01T00:00:00Z,2024-12-31T16:00:00Z,0,0,1,1,1,0,1
