symbol,episode_id,event_id,control_timestamp,calendar_month,utc_hour,chronological_third,available_history_status,source_excluded,non_overlapping,control_status,tie_break
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00001,BTCUSDT-F000093,,8,0,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00002,BTCUSDT-F000094,,8,8,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00003,BTCUSDT-F000095,,8,16,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00004,BTCUSDT-F000096,,8,0,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00005,BTCUSDT-F000097,,8,8,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00006,BTCUSDT-F000098,,8,16,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00007,BTCUSDT-F000099,,8,0,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00008,BTCUSDT-F000100,,8,8,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00009,BTCUSDT-F000101,,8,16,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00010,BTCUSDT-F000102,,8,0,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00011,BTCUSDT-F000103,,8,8,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00012,BTCUSDT-F000104,,8,16,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00013,BTCUSDT-F000105,,8,0,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00014,BTCUSDT-F000107,,8,16,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00015,BTCUSDT-F000108,,8,0,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00016,BTCUSDT-F000109,,8,8,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00017,BTCUSDT-F000110,,8,16,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00018,BTCUSDT-F000111,,8,0,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
BTCUSDT,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00019,BTCUSDT-F000113,,8,16,1,INSUFFICIENT_HISTORY,0,0,NO_EXACT_STRATUM_SUPPORT,SHA256(episode_id|timestamp)
