section,episode_view,symbol,event_family,side,scale,representation,field,metric,value,event_n,control_n,note
support,8H,BTCUSDT,ALL,ALL,,,representatives,count,1545,1545,,all families
support,8H,BTCUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,360,360,,raw and time-third rows retained in episodes.csv
support,8H,BTCUSDT,FUNDING,FUNDING_LOW,,,representatives,count,93,93,,raw and time-third rows retained in episodes.csv
support,8H,BTCUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,516,516,,raw and time-third rows retained in episodes.csv
support,8H,BTCUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,448,448,,raw and time-third rows retained in episodes.csv
support,8H,BTCUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,57,57,,raw and time-third rows retained in episodes.csv
support,8H,BTCUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,44,44,,raw and time-third rows retained in episodes.csv
support,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,17,17,,raw and time-third rows retained in episodes.csv
support,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,10,10,,raw and time-third rows retained in episodes.csv
support,8H,ETHUSDT,ALL,ALL,,,representatives,count,1531,1531,,all families
support,8H,ETHUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,329,329,,raw and time-third rows retained in episodes.csv
support,8H,ETHUSDT,FUNDING,FUNDING_LOW,,,representatives,count,100,100,,raw and time-third rows retained in episodes.csv
support,8H,ETHUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,495,495,,raw and time-third rows retained in episodes.csv
support,8H,ETHUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,467,467,,raw and time-third rows retained in episodes.csv
support,8H,ETHUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,55,55,,raw and time-third rows retained in episodes.csv
support,8H,ETHUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,57,57,,raw and time-third rows retained in episodes.csv
support,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,17,17,,raw and time-third rows retained in episodes.csv
support,8H,ETHUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,11,11,,raw and time-third rows retained in episodes.csv
support,8H,SOLUSDT,ALL,ALL,,,representatives,count,1469,1469,,all families
support,8H,SOLUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,341,341,,raw and time-third rows retained in episodes.csv
support,8H,SOLUSDT,FUNDING,FUNDING_LOW,,,representatives,count,111,111,,raw and time-third rows retained in episodes.csv
support,8H,SOLUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,469,469,,raw and time-third rows retained in episodes.csv
support,8H,SOLUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,433,433,,raw and time-third rows retained in episodes.csv
support,8H,SOLUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,48,48,,raw and time-third rows retained in episodes.csv
support,8H,SOLUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,39,39,,raw and time-third rows retained in episodes.csv
