source_row_id,status,reason,tolerance,absolute_difference,key_section,key_episode_view,key_symbol,key_event_family,key_side,key_scale,key_representation,key_field,key_metric,committed_value,reconstructed_value,committed_event_n,reconstructed_event_n,committed_control_n,reconstructed_control_n
EXP027_TRANSFER_00001,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,BTCUSDT,ALL,ALL,,,representatives,count,1545,1545,1545,1545,,
EXP027_TRANSFER_00002,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,BTCUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,360,360,360,360,,
EXP027_TRANSFER_00003,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,BTCUSDT,FUNDING,FUNDING_LOW,,,representatives,count,93,93,93,93,,
EXP027_TRANSFER_00004,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,BTCUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,516,516,516,516,,
EXP027_TRANSFER_00005,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,BTCUSDT,OI,OI_EXPANSION_SHOCK,,,representatives,count,448,448,448,448,,
EXP027_TRANSFER_00006,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,BTCUSDT,JOINT,FUNDING_HIGH|OI_CONTRACTION_SHOCK,,,representatives,count,57,57,57,57,,
EXP027_TRANSFER_00007,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,BTCUSDT,JOINT,FUNDING_HIGH|OI_EXPANSION_SHOCK,,,representatives,count,44,44,44,44,,
EXP027_TRANSFER_00008,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_CONTRACTION_SHOCK,,,representatives,count,17,17,17,17,,
EXP027_TRANSFER_00009,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,BTCUSDT,JOINT,FUNDING_LOW|OI_EXPANSION_SHOCK,,,representatives,count,10,10,10,10,,
EXP027_TRANSFER_00010,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,ETHUSDT,ALL,ALL,,,representatives,count,1531,1531,1531,1531,,
EXP027_TRANSFER_00011,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,ETHUSDT,FUNDING,FUNDING_HIGH,,,representatives,count,329,329,329,329,,
EXP027_TRANSFER_00012,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,ETHUSDT,FUNDING,FUNDING_LOW,,,representatives,count,100,100,100,100,,
EXP027_TRANSFER_00013,MATCH,NUMERIC_AND_SUPPORT_WITHIN_FIXED_TOLERANCE,1e-09,0,support,8H,ETHUSDT,OI,OI_CONTRACTION_SHOCK,,,representatives,count,495,495,495,495,,
