test,episode_view,event_family,side,volatility_regime,scale,representation,field,reason_counts,failed_gates
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,age_bars,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,close_location,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,displacement_atr,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,no_symbol_concentration;view_sign_agreement;exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,efficiency,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,sign_consistency;no_symbol_concentration;leave_one_symbol_out;view_sign_agreement;exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,origin_disagreement_bars,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,range_atr,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,view_sign_agreement;exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,recent_slope_atr,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,no_symbol_concentration;exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w32_displacement_atr,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w32_range_atr,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w4_displacement_atr,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w4_range_atr,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,leave_one_symbol_out;view_sign_agreement;exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w8_displacement_atr,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w8_range_atr,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,sign_consistency;leave_one_symbol_out;view_sign_agreement;exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,age_bars,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,sign_consistency;leave_one_symbol_out;exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,close_location,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,displacement_atr,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,no_symbol_concentration;exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,efficiency,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,origin_disagreement_bars,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,sign_consistency;leave_one_symbol_out;exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,range_atr,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,sign_consistency;no_symbol_concentration;leave_one_symbol_out;exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,recent_slope_atr,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,w32_displacement_atr,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,w32_range_atr,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,w4_displacement_atr,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,w4_range_atr,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,sign_consistency;no_symbol_concentration;leave_one_symbol_out;exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,w8_displacement_atr,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,exclusion_rate
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,w8_range_atr,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,sign_consistency;leave_one_symbol_out;exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,DIRECTION_RUN,age_bars,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,sign_consistency;no_symbol_concentration;leave_one_symbol_out;exclusion_rate;chronological_third_stability
A_EVENT_FAMILY,24H,FUNDING,,,15m,DIRECTION_RUN,close_location,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,no_symbol_concentration;view_sign_agreement;exclusion_rate;chronological_third_stability
