test,episode_view,event_family,side,volatility_regime,scale,representation,field,pooled_equal_symbol_contrast,symbols_with_support,same_sign_symbols,max_abs_contrast_share,max_family_side_abs_contrast_share,loso_sign_survives,chronological_stable_symbols,exclusion_rate,row_count,event_control_paired_support,validity_excluded_rows,reason_counts,unknown_reason_counts,sufficient_support,sign_consistency,no_symbol_concentration,leave_one_symbol_out,view_sign_agreement,exclusion_rate_gate,chronological_third_stability,unknown_diagnostic_only,qualifying,verdict
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,age_bars,-1.067708333,4,3,0.3896848138,0.9630177515,1,2,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,1,1,1,0,0,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,close_location,0.01227865385,4,3,0.3632116483,0.8638211902,1,2,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,1,1,1,0,0,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,displacement_atr,-0.1219056612,4,3,0.5829768066,0.6417076623,1,3,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,0,1,0,0,1,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,efficiency,-0.01476586788,4,2,0.529694205,0.6593325164,0,1,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,0,0,0,0,0,0,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,origin_disagreement_bars,-1.067708333,4,3,0.3896848138,0.9630177515,1,2,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,1,1,1,0,0,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,range_atr,-0.2156591822,4,3,0.333121859,0.9586213918,1,3,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,1,1,0,0,1,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,recent_slope_atr,0.02393818302,4,4,0.6774615716,0.6560321087,1,1,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,0,1,1,0,0,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w32_displacement_atr,0.8695702692,4,4,0.3995054492,0.6110193974,1,2,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,1,1,1,0,0,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w32_range_atr,1.586680031,4,4,0.3046457999,0.5730556033,1,4,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,1,1,1,0,1,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w4_displacement_atr,0.1905722203,4,4,0.3768434359,0.9335412118,1,3,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,1,1,1,0,1,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w4_range_atr,-0.02766812559,4,3,0.4607009606,0.7288218719,0,2,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,1,0,0,0,0,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w8_displacement_atr,0.3763797132,4,3,0.4090444982,0.6194996337,1,3,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,1,1,1,1,0,1,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,ATR_ORIGIN,w8_range_atr,-0.03334075227,4,2,0.3184830153,0.6745532812,0,2,0.8986784141,454,46,408,ATR_1_NOT_REACHED=27;INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=380,,1,0,1,0,0,0,0,0,0,FAIL
A_EVENT_FAMILY,24H,FUNDING,,,15m,CONFIRMED_DIRECTION_CHANGE,age_bars,-0.009989316239,4,2,0.410153449,0.7586206897,0,2,0.8810572687,454,54,400,INSUFFICIENT_HISTORY=1;NO_EXACT_STRATUM_SUPPORT=399,,1,0,1,0,1,0,0,0,0,FAIL
