test,episode_view,event_family,side,volatility_regime,scale,representation,field,pooled_equal_symbol_contrast,symbols_with_support,same_sign_symbols,max_abs_contrast_share,max_family_side_abs_contrast_share,loso_sign_survives,chronological_stable_symbols,exclusion_rate,row_count,event_control_paired_support,validity_excluded_rows,reason_counts,unknown_reason_counts,sufficient_support,sign_consistency,no_symbol_concentration,leave_one_symbol_out,view_sign_agreement,exclusion_rate_gate,chronological_third_stability,unknown_diagnostic_only,qualifying,verdict
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,age_bars,1.0625,4,2,0.7407407407,1,0,0,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,0,0,0,0,0,0,0,0,FAIL
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,close_location,-0.04366815255,4,2,0.7029187198,1,1,1,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,0,0,1,0,0,0,0,0,FAIL
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,displacement_atr,-0.2434446337,4,3,0.3985253635,1,1,3,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,1,1,1,0,0,1,0,0,FAIL
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,efficiency,-0.1268594157,4,4,0.8777454635,1,1,1,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,1,0,1,1,0,0,0,0,FAIL
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,origin_disagreement_bars,1.0625,4,2,0.7407407407,1,0,0,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,0,0,0,0,0,0,0,0,FAIL
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,range_atr,-0.003293643979,4,3,0.4948521749,1,0,1,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,1,1,0,0,0,0,0,0,FAIL
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,recent_slope_atr,-0.1290778048,4,2,0.6926765781,1,0,1,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,0,0,0,0,0,0,0,0,FAIL
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,w32_displacement_atr,0.8498372002,4,3,0.3322915929,1,1,2,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,1,1,1,1,0,0,0,0,FAIL
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,w32_range_atr,1.98281227,4,4,0.3998696365,1,1,3,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,1,1,1,1,0,1,0,0,FAIL
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,w4_displacement_atr,-0.1826491974,4,2,0.7110599668,1,0,1,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,0,0,0,0,0,0,0,0,FAIL
B_SIDE_WITHIN_FAMILY,24H,FUNDING,FUNDING_HIGH,,15m,ATR_ORIGIN,w4_range_atr,-0.1307731815,4,2,0.5244970243,1,0,1,0.9125,240,21,219,ATR_1_NOT_REACHED=10;NO_EXACT_STRATUM_SUPPORT=209,,1,0,0,0,0,0,0,0,0,FAIL
