symbol,episode_view,episode_id,event_id,event_family,side,calendar_month,chronological_third,observation_role,observation_identity,observation_timestamp,available_history_status,scale,representation,volatility_regime,regime_reason,atr_to_prior_96_median,ohlc_closed_through
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001377,2024-10-02T00:00:00Z,AVAILABLE,15m,FIXED_8,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,1.283686051,2024-10-02T00:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001377,2024-10-02T00:00:00Z,AVAILABLE,15m,DIRECTION_RUN,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,1.283686051,2024-10-02T00:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001377,2024-10-02T00:00:00Z,AVAILABLE,15m,ATR_ORIGIN,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,1.283686051,2024-10-02T00:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001377,2024-10-02T00:00:00Z,AVAILABLE,15m,CONFIRMED_DIRECTION_CHANGE,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,1.283686051,2024-10-02T00:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001377,2024-10-02T00:00:00Z,AVAILABLE,15m,HYBRID_ORIGIN,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,1.283686051,2024-10-02T00:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001377,2024-10-02T00:00:00Z,AVAILABLE,1H,FIXED_8,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,2.273766372,2024-10-02T00:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001377,2024-10-02T00:00:00Z,AVAILABLE,1H,DIRECTION_RUN,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,2.273766372,2024-10-02T00:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001377,2024-10-02T00:00:00Z,AVAILABLE,1H,ATR_ORIGIN,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,2.273766372,2024-10-02T00:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001377,2024-10-02T00:00:00Z,AVAILABLE,1H,CONFIRMED_DIRECTION_CHANGE,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,2.273766372,2024-10-02T00:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001377,2024-10-02T00:00:00Z,AVAILABLE,1H,HYBRID_ORIGIN,HIGH,CAUSAL_PRIOR_96_CLOSED_BARS,2.273766372,2024-10-02T00:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241|CONTROL,,AVAILABLE,15m,FIXED_8,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241|CONTROL,,AVAILABLE,15m,DIRECTION_RUN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241|CONTROL,,AVAILABLE,15m,ATR_ORIGIN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241|CONTROL,,AVAILABLE,15m,CONFIRMED_DIRECTION_CHANGE,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241|CONTROL,,AVAILABLE,15m,HYBRID_ORIGIN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241|CONTROL,,AVAILABLE,1H,FIXED_8,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241|CONTROL,,AVAILABLE,1H,DIRECTION_RUN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241|CONTROL,,AVAILABLE,1H,ATR_ORIGIN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241|CONTROL,,AVAILABLE,1H,CONFIRMED_DIRECTION_CHANGE,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241,BTCUSDT-F001377,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00241|CONTROL,,AVAILABLE,1H,HYBRID_ORIGIN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001381,2024-10-03T08:00:00Z,AVAILABLE,15m,FIXED_8,LOW,CAUSAL_PRIOR_96_CLOSED_BARS,0.6539731355,2024-10-03T08:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001381,2024-10-03T08:00:00Z,AVAILABLE,15m,DIRECTION_RUN,LOW,CAUSAL_PRIOR_96_CLOSED_BARS,0.6539731355,2024-10-03T08:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001381,2024-10-03T08:00:00Z,AVAILABLE,15m,ATR_ORIGIN,LOW,CAUSAL_PRIOR_96_CLOSED_BARS,0.6539731355,2024-10-03T08:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001381,2024-10-03T08:00:00Z,AVAILABLE,15m,CONFIRMED_DIRECTION_CHANGE,LOW,CAUSAL_PRIOR_96_CLOSED_BARS,0.6539731355,2024-10-03T08:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001381,2024-10-03T08:00:00Z,AVAILABLE,15m,HYBRID_ORIGIN,LOW,CAUSAL_PRIOR_96_CLOSED_BARS,0.6539731355,2024-10-03T08:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001381,2024-10-03T08:00:00Z,AVAILABLE,1H,FIXED_8,NORMAL,CAUSAL_PRIOR_96_CLOSED_BARS,1.110669853,2024-10-03T08:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001381,2024-10-03T08:00:00Z,AVAILABLE,1H,DIRECTION_RUN,NORMAL,CAUSAL_PRIOR_96_CLOSED_BARS,1.110669853,2024-10-03T08:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001381,2024-10-03T08:00:00Z,AVAILABLE,1H,ATR_ORIGIN,NORMAL,CAUSAL_PRIOR_96_CLOSED_BARS,1.110669853,2024-10-03T08:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001381,2024-10-03T08:00:00Z,AVAILABLE,1H,CONFIRMED_DIRECTION_CHANGE,NORMAL,CAUSAL_PRIOR_96_CLOSED_BARS,1.110669853,2024-10-03T08:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,EVENT,BTCUSDT-F001381,2024-10-03T08:00:00Z,AVAILABLE,1H,HYBRID_ORIGIN,NORMAL,CAUSAL_PRIOR_96_CLOSED_BARS,1.110669853,2024-10-03T08:00:00Z
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242|CONTROL,,AVAILABLE,15m,FIXED_8,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242|CONTROL,,AVAILABLE,15m,DIRECTION_RUN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242|CONTROL,,AVAILABLE,15m,ATR_ORIGIN,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
BTCUSDT,8H,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242,BTCUSDT-F001381,FUNDING,FUNDING_HIGH,10,3,CONTROL,BTCUSDT|FUNDING|FUNDING_HIGH|8H|00242|CONTROL,,AVAILABLE,15m,CONFIRMED_DIRECTION_CHANGE,UNKNOWN,NO_EXACT_STRATUM_SUPPORT,,
